#           k/h    P           
   0.174164E-01   0.165432E+05
   0.177683E-01   0.165575E+05
   0.181272E-01   0.165655E+05
   0.184934E-01   0.165670E+05
   0.188670E-01   0.165618E+05
   0.192481E-01   0.165499E+05
   0.196370E-01   0.165309E+05
   0.200337E-01   0.165048E+05
   0.204384E-01   0.164714E+05
   0.208513E-01   0.164306E+05
   0.212725E-01   0.163821E+05
   0.217022E-01   0.163260E+05
   0.221406E-01   0.162619E+05
   0.225879E-01   0.161900E+05
   0.230442E-01   0.161099E+05
   0.235097E-01   0.160217E+05
   0.239847E-01   0.159252E+05
   0.244692E-01   0.158205E+05
   0.249635E-01   0.157074E+05
   0.254678E-01   0.155859E+05
   0.259823E-01   0.154560E+05
   0.265072E-01   0.153177E+05
   0.270426E-01   0.151711E+05
   0.275889E-01   0.150161E+05
   0.281463E-01   0.148529E+05
   0.287149E-01   0.146816E+05
   0.292949E-01   0.145022E+05
   0.298867E-01   0.143149E+05
   0.304905E-01   0.141200E+05
   0.311064E-01   0.139175E+05
   0.317348E-01   0.137078E+05
   0.323759E-01   0.134910E+05
   0.330299E-01   0.132675E+05
   0.336972E-01   0.130377E+05
   0.343779E-01   0.128017E+05
   0.350724E-01   0.125601E+05
   0.357809E-01   0.123132E+05
   0.365038E-01   0.120614E+05
   0.372412E-01   0.118052E+05
   0.379935E-01   0.115451E+05
   0.387610E-01   0.112816E+05
   0.395440E-01   0.110152E+05
   0.403429E-01   0.107465E+05
   0.411579E-01   0.104759E+05
   0.419893E-01   0.102042E+05
   0.428375E-01   0.993174E+04
   0.437029E-01   0.965923E+04
   0.445858E-01   0.938722E+04
   0.454865E-01   0.911629E+04
   0.464053E-01   0.884699E+04
   0.473428E-01   0.857987E+04
   0.482992E-01   0.831548E+04
   0.492749E-01   0.805431E+04
   0.502703E-01   0.779684E+04
   0.512858E-01   0.754352E+04
   0.523219E-01   0.729476E+04
   0.533789E-01   0.705092E+04
   0.544572E-01   0.681232E+04
   0.555573E-01   0.657921E+04
   0.566796E-01   0.635183E+04
   0.578246E-01   0.613031E+04
   0.589927E-01   0.591475E+04
   0.601845E-01   0.570519E+04
   0.614003E-01   0.550160E+04
   0.626407E-01   0.530389E+04
   0.639061E-01   0.511190E+04
   0.651971E-01   0.492542E+04
   0.665142E-01   0.474417E+04
   0.678578E-01   0.456784E+04
   0.692287E-01   0.439605E+04
   0.706272E-01   0.422840E+04
   0.720539E-01   0.406444E+04
   0.735095E-01   0.390370E+04
   0.749945E-01   0.374570E+04
   0.765095E-01   0.358997E+04
   0.780551E-01   0.343605E+04
   0.796319E-01   0.328350E+04
   0.812406E-01   0.313194E+04
   0.828817E-01   0.298106E+04
   0.845561E-01   0.283062E+04
   0.862642E-01   0.268048E+04
