#           k/h    P           
   0.626407E-01   0.220480E+00
   0.639061E-01   0.210777E+00
   0.651971E-01   0.201128E+00
   0.665142E-01   0.191506E+00
   0.678578E-01   0.181890E+00
   0.692287E-01   0.172267E+00
   0.706272E-01   0.162629E+00
   0.720539E-01   0.152977E+00
   0.735095E-01   0.143325E+00
   0.749945E-01   0.133695E+00
   0.765095E-01   0.124121E+00
   0.780551E-01   0.114647E+00
   0.796319E-01   0.105321E+00
   0.812406E-01   0.961997E-01
   0.828817E-01   0.873434E-01
   0.845561E-01   0.788157E-01
   0.862642E-01   0.706800E-01
   0.880068E-01   0.629953E-01
   0.897847E-01   0.558133E-01
   0.915985E-01   0.491752E-01
   0.934489E-01   0.431103E-01
   0.953367E-01   0.376354E-01
   0.972626E-01   0.327538E-01
   0.992274E-01   0.284549E-01
   0.101232E+00   0.247148E-01
   0.103277E+00   0.214982E-01
   0.105363E+00   0.187616E-01
   0.107492E+00   0.164558E-01
   0.109663E+00   0.145278E-01
   0.111879E+00   0.129230E-01
   0.114139E+00   0.115866E-01
   0.116445E+00   0.104659E-01
   0.118797E+00   0.951152E-02
   0.121197E+00   0.867783E-02
   0.123645E+00   0.792368E-02
   0.126143E+00   0.721391E-02
   0.128691E+00   0.652116E-02
   0.131291E+00   0.582716E-02
   0.133943E+00   0.512341E-02
   0.136649E+00   0.441163E-02
   0.139409E+00   0.370336E-02
   0.142226E+00   0.301768E-02
   0.145099E+00   0.237724E-02
   0.148030E+00   0.180419E-02
   0.151020E+00   0.131617E-02
   0.154071E+00   0.922804E-03
   0.157184E+00   0.624104E-03
   0.160359E+00   0.411417E-03
   0.163598E+00   0.270049E-03
   0.166903E+00   0.182805E-03
   0.170275E+00   0.133622E-03
   0.173715E+00   0.109936E-03
   0.177224E+00   0.103085E-03
   0.180804E+00   0.107178E-03
   0.184457E+00   0.117325E-03
   0.188183E+00   0.128213E-03
   0.191985E+00   0.134082E-03
   0.195863E+00   0.130138E-03
   0.199820E+00   0.114399E-03
   0.203856E+00   0.889000E-04
   0.207974E+00   0.592103E-04
   0.212176E+00   0.321329E-04
   0.216462E+00   0.128507E-04
   0.220835E+00   0.287102E-05
   0.225296E+00   0.329298E-07
   0.229847E+00   0.438562E-06
   0.234490E+00   0.863584E-06
   0.239227E+00   0.394884E-06
   0.244060E+00   0.877129E-08
   0.248990E+00   0.936349E-06
   0.254020E+00   0.314775E-05
   0.259152E+00   0.524355E-05
   0.264387E+00   0.569320E-05
   0.269728E+00   0.419343E-05
   0.275177E+00   0.188910E-05
   0.280736E+00   0.304292E-06
   0.286407E+00   0.606182E-07
   0.292193E+00   0.517795E-06
   0.298096E+00   0.767155E-06
   0.304118E+00   0.470598E-06
   0.310261E+00   0.664923E-07
   0.316529E+00   0.498170E-07
   0.322923E+00   0.353313E-06
   0.329447E+00   0.534099E-06
   0.336102E+00   0.373575E-06
   0.342892E+00   0.962684E-07
   0.349819E+00   0.798278E-09
   0.356885E+00   0.826621E-07
   0.364095E+00   0.129954E-06
   0.371450E+00   0.648979E-07
   0.378954E+00   0.249919E-08
   0.386609E+00   0.220360E-07
   0.394419E+00   0.588561E-07
   0.402387E+00   0.425087E-07
   0.410516E+00   0.636311E-08
   0.418809E+00   0.310644E-08
   0.427269E+00   0.159236E-07
   0.435901E+00   0.116299E-07
   0.444706E+00   0.851585E-09
   0.453690E+00   0.250921E-08
   0.462855E+00   0.662892E-08
   0.472206E+00   0.305936E-08
   0.481745E+00   0.279177E-12
   0.491477E+00   0.142315E-08
   0.501405E+00   0.153888E-08
   0.511534E+00   0.133928E-09
   0.521868E+00   0.305104E-09
   0.532411E+00   0.629827E-09
   0.543166E+00   0.119821E-09
   0.554139E+00   0.601108E-10
   0.565333E+00   0.204035E-09
   0.576753E+00   0.429169E-10
   0.588404E+00   0.120538E-10
   0.600291E+00   0.498857E-10
   0.612418E+00   0.242777E-11
   0.624789E+00   0.189775E-10
   0.637411E+00   0.225490E-10
