#           k/h    P           
   0.555573E-01   0.241165E+00
   0.566796E-01   0.233145E+00
   0.578246E-01   0.225323E+00
   0.589927E-01   0.217703E+00
   0.601845E-01   0.210287E+00
   0.614003E-01   0.203073E+00
   0.626407E-01   0.196057E+00
   0.639061E-01   0.189234E+00
   0.651971E-01   0.182598E+00
   0.665142E-01   0.176139E+00
   0.678578E-01   0.169848E+00
   0.692287E-01   0.163713E+00
   0.706272E-01   0.157718E+00
   0.720539E-01   0.151849E+00
   0.735095E-01   0.146088E+00
   0.749945E-01   0.140418E+00
   0.765095E-01   0.134819E+00
   0.780551E-01   0.129276E+00
   0.796319E-01   0.123772E+00
   0.812406E-01   0.118294E+00
   0.828817E-01   0.112831E+00
   0.845561E-01   0.107373E+00
   0.862642E-01   0.101914E+00
   0.880068E-01   0.964519E-01
   0.897847E-01   0.909885E-01
   0.915985E-01   0.855307E-01
   0.934489E-01   0.800909E-01
   0.953367E-01   0.746866E-01
   0.972626E-01   0.693397E-01
   0.992274E-01   0.640758E-01
   0.101232E+00   0.589231E-01
   0.103277E+00   0.539121E-01
   0.105363E+00   0.490747E-01
   0.107492E+00   0.444427E-01
   0.109663E+00   0.400466E-01
   0.111879E+00   0.359130E-01
   0.114139E+00   0.320639E-01
   0.116445E+00   0.285154E-01
   0.118797E+00   0.252775E-01
   0.121197E+00   0.223538E-01
   0.123645E+00   0.197413E-01
   0.126143E+00   0.174300E-01
   0.128691E+00   0.154042E-01
   0.131291E+00   0.136432E-01
   0.133943E+00   0.121228E-01
   0.136649E+00   0.108165E-01
   0.139409E+00   0.969617E-02
   0.142226E+00   0.873293E-02
   0.145099E+00   0.789833E-02
   0.148030E+00   0.716539E-02
   0.151020E+00   0.650923E-02
   0.154071E+00   0.590761E-02
   0.157184E+00   0.534168E-02
   0.160359E+00   0.479707E-02
   0.163598E+00   0.426459E-02
   0.166903E+00   0.374035E-02
   0.170275E+00   0.322568E-02
   0.173715E+00   0.272665E-02
   0.177224E+00   0.225284E-02
   0.180804E+00   0.181540E-02
   0.184457E+00   0.142485E-02
   0.188183E+00   0.108931E-02
   0.191985E+00   0.813008E-03
   0.195863E+00   0.595546E-03
   0.199820E+00   0.432270E-03
   0.203856E+00   0.315514E-03
   0.207974E+00   0.236116E-03
   0.212176E+00   0.184957E-03
   0.216462E+00   0.154082E-03
   0.220835E+00   0.137050E-03
   0.225296E+00   0.128665E-03
   0.229847E+00   0.124550E-03
   0.234490E+00   0.120831E-03
   0.239227E+00   0.114255E-03
   0.244060E+00   0.102764E-03
   0.248990E+00   0.860624E-04
   0.254020E+00   0.657632E-04
   0.259152E+00   0.448748E-04
   0.264387E+00   0.266324E-04
   0.269728E+00   0.132676E-04
   0.275177E+00   0.528375E-05
   0.280736E+00   0.158812E-05
   0.286407E+00   0.373342E-06
   0.292193E+00   0.136142E-06
   0.298096E+00   0.232398E-06
   0.304118E+00   0.702158E-06
   0.310261E+00   0.165508E-05
   0.316529E+00   0.279884E-05
   0.322923E+00   0.350135E-05
   0.329447E+00   0.328672E-05
   0.336102E+00   0.225441E-05
   0.342892E+00   0.101859E-05
   0.349819E+00   0.206641E-06
   0.356885E+00   0.122578E-08
   0.364095E+00   0.111849E-06
   0.371450E+00   0.170633E-06
   0.378954E+00   0.797497E-07
   0.386609E+00   0.371427E-10
   0.394419E+00   0.667712E-07
   0.402387E+00   0.203539E-06
   0.410516E+00   0.244578E-06
   0.418809E+00   0.149047E-06
   0.427269E+00   0.328393E-07
   0.435901E+00   0.799120E-09
   0.444706E+00   0.303890E-07
   0.453690E+00   0.401453E-07
   0.462855E+00   0.147477E-07
   0.472206E+00   0.306652E-10
   0.481745E+00   0.139218E-07
   0.491477E+00   0.252329E-07
   0.501405E+00   0.147207E-07
   0.511534E+00   0.139259E-08
   0.521868E+00   0.176091E-08
   0.532411E+00   0.577836E-08
   0.543166E+00   0.311868E-08
   0.554139E+00   0.219171E-10
   0.565333E+00   0.155775E-08
   0.576753E+00   0.261484E-08
   0.588404E+00   0.872158E-09
   0.600291E+00   0.119206E-10
   0.612418E+00   0.586941E-09
   0.624789E+00   0.433111E-09
   0.637411E+00   0.389468E-11
   0.650288E+00   0.183289E-09
   0.663424E+00   0.226623E-09
   0.676826E+00   0.228764E-10
   0.690499E+00   0.346728E-10
   0.704448E+00   0.636709E-10
   0.718679E+00   0.534015E-11
   0.733197E+00   0.133269E-10
   0.748009E+00   0.179241E-10
   0.763119E+00   0.314548E-12
   0.778536E+00   0.735653E-11
   0.794263E+00   0.537262E-11
   0.810308E+00   0.372915E-13
   0.826677E+00   0.469698E-11
   0.843378E+00   0.247417E-11
   0.860415E+00   0.344110E-12
   0.877797E+00   0.227092E-12
   0.895529E+00   0.286922E-12
   0.913620E+00   0.280238E-12
   0.932076E+00   0.179597E-12
   0.950906E+00   0.771422E-13
   0.970115E+00   0.321166E-13
   0.989713E+00   0.208444E-13
   0.100971E+01   0.255255E-13
   0.103010E+01   0.575880E-13
   0.105091E+01   0.176279E-12
   0.107214E+01   0.362271E-12
   0.109380E+01   0.324808E-12
   0.111590E+01   0.199615E-12
   0.113844E+01   0.149207E-12
   0.116144E+01   0.189479E-12
   0.118490E+01   0.502579E-12
   0.120884E+01   0.201021E-11
   0.123326E+01   0.583005E-11
   0.125817E+01   0.872217E-11
   0.128359E+01   0.882470E-11
   0.130952E+01   0.791804E-11
   0.133597E+01   0.705798E-11
   0.136296E+01   0.675394E-11
   0.139049E+01   0.722188E-11
   0.141858E+01   0.875763E-11
   0.144724E+01   0.103818E-10
   0.147648E+01   0.911186E-11
   0.150630E+01   0.611683E-11
   0.153673E+01   0.537745E-11
   0.156778E+01   0.847829E-11
   0.159945E+01   0.135194E-10
   0.163176E+01   0.116567E-10
   0.166472E+01   0.734802E-11
   0.169835E+01   0.662661E-11
   0.173266E+01   0.881828E-11
   0.176766E+01   0.102653E-10
   0.180337E+01   0.826229E-11
   0.183980E+01   0.611910E-11
   0.187697E+01   0.534753E-11
   0.191489E+01   0.519531E-11
   0.195357E+01   0.498194E-11
   0.199304E+01   0.446297E-11
   0.203330E+01   0.365595E-11
   0.207437E+01   0.290087E-11
   0.211628E+01   0.253284E-11
   0.215903E+01   0.222422E-11
   0.220265E+01   0.120737E-11
   0.224714E+01   0.322560E-12
   0.229254E+01   0.103963E-12
   0.233885E+01   0.109103E-12
   0.238610E+01   0.254753E-12
   0.243430E+01   0.473256E-12
   0.248348E+01   0.454830E-12
   0.253365E+01   0.264168E-12
   0.258483E+01   0.122945E-12
   0.263705E+01   0.739537E-13
   0.269032E+01   0.744603E-13
   0.274466E+01   0.620097E-13
   0.280011E+01   0.199033E-13
   0.285668E+01   0.570420E-14
   0.291439E+01   0.729239E-14
   0.297326E+01   0.412450E-13
   0.303332E+01   0.194357E-12
   0.309460E+01   0.249533E-12
   0.315712E+01   0.101697E-12
   0.322090E+01   0.195531E-13
   0.328596E+01   0.386447E-14
   0.335234E+01   0.176933E-14
   0.342006E+01   0.221907E-14
   0.348916E+01   0.622283E-14
   0.355964E+01   0.215376E-13
   0.363155E+01   0.334799E-13
   0.370491E+01   0.151315E-13
   0.377976E+01   0.463783E-14
   0.385611E+01   0.233484E-14
   0.393401E+01   0.261491E-14
   0.401348E+01   0.654075E-14
   0.409456E+01   0.925622E-14
   0.417727E+01   0.926544E-15
   0.426166E+01   0.156846E-16
   0.434775E+01   0.316102E-17
   0.443558E+01   0.543066E-16
   0.452519E+01   0.203913E-14
   0.461660E+01   0.448271E-14
   0.470987E+01   0.829417E-15
   0.480501E+01   0.605848E-16
   0.490208E+01   0.668266E-17
   0.500111E+01   0.361957E-17
   0.510214E+01   0.943026E-17
   0.520521E+01   0.271696E-16
   0.531036E+01   0.312633E-16
   0.541763E+01   0.191061E-16
   0.552708E+01   0.998402E-17
   0.563873E+01   0.710587E-17
   0.575264E+01   0.109567E-16
   0.586885E+01   0.596290E-16
   0.598741E+01   0.180431E-14
   0.610836E+01   0.746841E-13
   0.623176E+01   0.970070E-13
   0.635765E+01   0.106297E-14
   0.648609E+01   0.220166E-16
   0.661711E+01   0.129564E-15
   0.675079E+01   0.103872E-13
   0.688716E+01   0.519872E-13
   0.702629E+01   0.132029E-13
   0.716823E+01   0.477937E-14
   0.731304E+01   0.856954E-14
   0.746077E+01   0.141601E-13
   0.761149E+01   0.619629E-14
   0.776525E+01   0.119526E-14
   0.792212E+01   0.235348E-15
   0.808217E+01   0.132775E-15
   0.824543E+01   0.560787E-15
   0.841200E+01   0.643950E-14
   0.858193E+01   0.178486E-13
   0.875530E+01   0.697232E-14
   0.893217E+01   0.348884E-14
   0.911261E+01   0.916957E-14
   0.929670E+01   0.277705E-13
   0.948451E+01   0.169440E-13
   0.967610E+01   0.241315E-14
   0.987158E+01   0.194892E-15
   0.100710E+02   0.251617E-16
