#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.704099E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.464849E+00
   0.718316E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.474236E+00
   0.732821E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.483812E+00
   0.747619E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.493581E+00
   0.762715E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.503548E+00
   0.778116E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.513716E+00
   0.793828E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.524089E+00
   0.809858E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.534672E+00
   0.826211E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.545468E+00
   0.842894E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.556482E+00
   0.859915E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.567719E+00
   0.877279E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.579183E+00
   0.894993E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.590878E+00
   0.913065E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.602810E+00
   0.931503E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.614982E+00
   0.950312E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.627400E+00
   0.969501E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.640069E+00
   0.989078E-05   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.652994E+00
   0.100905E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.666179E+00
   0.102943E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.679631E+00
   0.105021E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.693355E+00
   0.107142E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.707355E+00
   0.109305E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.721639E+00
   0.111513E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.736210E+00
   0.113764E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.751077E+00
   0.116061E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.766243E+00
   0.118405E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.781715E+00
   0.120796E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.797500E+00
   0.123235E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.813604E+00
   0.125724E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.830032E+00
   0.128262E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.846793E+00
   0.130852E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.863892E+00
   0.133494E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.881336E+00
   0.136190E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.899133E+00
   0.138940E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.917288E+00
   0.141746E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.935811E+00
   0.144608E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.954707E+00
   0.147528E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.973985E+00
   0.150507E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.993653E+00
   0.153546E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.101372E+01
   0.156647E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.103419E+01
   0.159810E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.105507E+01
   0.163037E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.107637E+01
   0.166329E-04   0.114825E+06   0.114825E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114825E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.109811E+01
   0.169687E-04   0.114825E+06   0.114824E+06   0.153099E+06   0.153099E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.112028E+01
   0.173114E-04   0.114825E+06   0.114824E+06   0.153099E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.114290E+01
   0.176609E-04   0.114825E+06   0.114824E+06   0.153099E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.116598E+01
   0.180176E-04   0.114825E+06   0.114824E+06   0.153099E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.118953E+01
   0.183814E-04   0.114825E+06   0.114824E+06   0.153099E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.121355E+01
   0.187525E-04   0.114825E+06   0.114824E+06   0.153099E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.123805E+01
   0.191312E-04   0.114825E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.126305E+01
   0.195175E-04   0.114825E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.128855E+01
   0.199116E-04   0.114825E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.131457E+01
   0.203137E-04   0.114825E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.134112E+01
   0.207239E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606949E+00   0.114471E+06   0.114471E+06   0.136820E+01
   0.211424E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.139583E+01
   0.215693E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.142401E+01
   0.220048E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.145277E+01
   0.224492E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.148210E+01
   0.229025E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.151203E+01
   0.233649E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.154256E+01
   0.238367E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.157371E+01
   0.243180E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.160549E+01
   0.248091E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153098E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.163791E+01
   0.253100E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153097E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.167098E+01
   0.258211E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153097E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.170472E+01
   0.263425E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153097E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.173914E+01
   0.268744E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153097E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.177426E+01
   0.274171E-04   0.114824E+06   0.114824E+06   0.153098E+06   0.153097E+06   0.115157E+06   0.115105E+06   0.114824E+06   0.122904E+06  -0.606948E+00   0.114471E+06   0.114471E+06   0.181009E+01
