#    L    TT             EE             TE          
   169   0.514893E+04   0.108121E+01  -0.483421E+02
   170   0.517809E+04   0.106992E+01  -0.479782E+02
   171   0.520690E+04   0.105840E+01  -0.475867E+02
   172   0.523537E+04   0.104669E+01  -0.471675E+02
   173   0.526347E+04   0.103479E+01  -0.467204E+02
   174   0.529121E+04   0.102274E+01  -0.462455E+02
   175   0.531857E+04   0.101056E+01  -0.457429E+02
   176   0.534554E+04   0.998272E+00  -0.452124E+02
   177   0.537212E+04   0.985902E+00  -0.446540E+02
   178   0.539829E+04   0.973471E+00  -0.440677E+02
   179   0.542405E+04   0.960999E+00  -0.434534E+02
   180   0.544939E+04   0.948518E+00  -0.428113E+02
   181   0.547430E+04   0.936055E+00  -0.421413E+02
   182   0.549878E+04   0.923636E+00  -0.414435E+02
   183   0.552282E+04   0.911280E+00  -0.407181E+02
   184   0.554640E+04   0.899019E+00  -0.399651E+02
   185   0.556953E+04   0.886889E+00  -0.391844E+02
   186   0.559220E+04   0.874907E+00  -0.383763E+02
   187   0.561439E+04   0.863101E+00  -0.375409E+02
   188   0.563611E+04   0.851506E+00  -0.366784E+02
   189   0.565733E+04   0.840151E+00  -0.357888E+02
   190   0.567807E+04   0.829066E+00  -0.348724E+02
   191   0.569831E+04   0.818280E+00  -0.339294E+02
   192   0.571803E+04   0.807823E+00  -0.329598E+02
   193   0.573723E+04   0.797726E+00  -0.319640E+02
   194   0.575593E+04   0.788021E+00  -0.309422E+02
   195   0.577409E+04   0.778739E+00  -0.298945E+02
   196   0.579173E+04   0.769914E+00  -0.288215E+02
   197   0.580883E+04   0.761577E+00  -0.277234E+02
   198   0.582541E+04   0.753763E+00  -0.266003E+02
   199   0.584144E+04   0.746502E+00  -0.254526E+02
   200   0.585694E+04   0.739826E+00  -0.242808E+02
   201   0.587189E+04   0.733771E+00  -0.230849E+02
   202   0.588628E+04   0.728374E+00  -0.218656E+02
   203   0.590008E+04   0.723672E+00  -0.206229E+02
   204   0.591331E+04   0.719704E+00  -0.193574E+02
   205   0.592594E+04   0.716509E+00  -0.180694E+02
   206   0.593796E+04   0.714123E+00  -0.167592E+02
   207   0.594937E+04   0.712586E+00  -0.154272E+02
   208   0.596016E+04   0.711936E+00  -0.140738E+02
   209   0.597035E+04   0.712210E+00  -0.126996E+02
   210   0.597993E+04   0.713448E+00  -0.113050E+02
   211   0.598890E+04   0.715687E+00  -0.989059E+01
   212   0.599728E+04   0.718966E+00  -0.845678E+01
   213   0.600507E+04   0.723323E+00  -0.700409E+01
   214   0.601227E+04   0.728796E+00  -0.553301E+01
   215   0.601888E+04   0.735417E+00  -0.404407E+01
   216   0.602489E+04   0.743233E+00  -0.253780E+01
   217   0.603030E+04   0.752275E+00  -0.101474E+01
   218   0.603510E+04   0.762575E+00   0.524644E+00
   219   0.603928E+04   0.774178E+00   0.207975E+01
   220   0.604285E+04   0.787115E+00   0.365012E+01
   221   0.604579E+04   0.801419E+00   0.523506E+01
   222   0.604811E+04   0.817134E+00   0.683421E+01
   223   0.604979E+04   0.834285E+00   0.844680E+01
   224   0.605086E+04   0.852911E+00   0.100724E+02
   225   0.605131E+04   0.873035E+00   0.117102E+02
   226   0.605112E+04   0.894704E+00   0.133598E+02
   227   0.605032E+04   0.917948E+00   0.150205E+02
   228   0.604889E+04   0.942791E+00   0.166916E+02
   229   0.604684E+04   0.969273E+00   0.183727E+02
   230   0.604416E+04   0.997423E+00   0.200630E+02
   231   0.604087E+04   0.102726E+01   0.217620E+02
   232   0.603696E+04   0.105882E+01   0.234689E+02
   233   0.603242E+04   0.109214E+01   0.251832E+02
   234   0.602727E+04   0.112723E+01   0.269041E+02
   235   0.602150E+04   0.116414E+01   0.286311E+02
   236   0.601511E+04   0.120289E+01   0.303635E+02
   237   0.600811E+04   0.124349E+01   0.321005E+02
   238   0.600050E+04   0.128597E+01   0.338416E+02
   239   0.599228E+04   0.133035E+01   0.355861E+02
   240   0.598346E+04   0.137667E+01   0.373331E+02
   241   0.597402E+04   0.142494E+01   0.390823E+02
   242   0.596399E+04   0.147518E+01   0.408327E+02
   243   0.595336E+04   0.152742E+01   0.425837E+02
   244   0.594214E+04   0.158166E+01   0.443348E+02
   245   0.593033E+04   0.163794E+01   0.460852E+02
