# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
     0.000153803     0.000772022     0.000767268     0.000771995     0.000767253     0.000775778     0.000767266
     0.000162262      0.00081308     0.000808074     0.000813066     0.000808074     0.000817051     0.000808074
     0.000171187     0.000856339     0.000851064     0.000856309     0.000851049     0.000860503     0.000851062
     0.000180603      0.00090188     0.000896325     0.000901848     0.000896323     0.000906266     0.000896325
     0.000190536     0.000949861     0.000944013     0.000949812     0.000943997     0.000954483     0.000944011
     0.000201016      0.00100038     0.000994218      0.00100033     0.000994201      0.00100525     0.000994216
     0.000212072      0.00105358      0.00104709      0.00105352      0.00104708      0.00105871      0.00104709
     0.000223737      0.00110961      0.00110278      0.00110956      0.00110276      0.00111501      0.00110278
     0.000236043      0.00116863      0.00116144      0.00116857      0.00116141      0.00117432      0.00116143
     0.000249026      0.00123078       0.0012232      0.00123071      0.00122317      0.00123676       0.0012232
     0.000262723      0.00129623      0.00128825      0.00129614      0.00128821      0.00130252      0.00128825
     0.000277173      0.00136517      0.00135675      0.00136505      0.00135672      0.00137177      0.00135674
     0.000292418      0.00143777       0.0014289      0.00143761      0.00142885      0.00144471      0.00142889
     0.000308501      0.00151422      0.00150487      0.00151406      0.00150481      0.00152153      0.00150486
      0.00032547      0.00159472      0.00158488      0.00159453      0.00158483       0.0016024      0.00158487
     0.000343371      0.00167949      0.00166915      0.00167929      0.00166906      0.00168759      0.00166913
     0.000362257      0.00176879      0.00175787      0.00176854      0.00175778       0.0017773      0.00175785
     0.000382182       0.0018628       0.0018513      0.00186252      0.00185121      0.00187174      0.00185129
     0.000403203      0.00196182       0.0019497      0.00196146      0.00194957      0.00197121      0.00194968
      0.00042538      0.00206609      0.00205333      0.00206566      0.00205315      0.00207596       0.0020533
     0.000448777      0.00217588      0.00216244      0.00217539      0.00216225      0.00218624      0.00216241
      0.00047346      0.00229149      0.00227732      0.00229091       0.0022771      0.00230238      0.00227728
     0.000499501       0.0024132      0.00239829      0.00241256      0.00239804      0.00242464      0.00239825
     0.000526975      0.00254138      0.00252564      0.00254063      0.00252534      0.00255336       0.0025256
      0.00055596      0.00267634      0.00265976      0.00267543      0.00265941      0.00268892      0.00265971
     0.000586539      0.00281847        0.002801      0.00281737      0.00280055      0.00283163      0.00280093
     0.000618799      0.00296808      0.00294965       0.0029668      0.00294919      0.00298186      0.00294958
     0.000652835      0.00312555      0.00310614      0.00312411       0.0031056      0.00314003      0.00310605
     0.000688742      0.00329137      0.00327093       0.0032897      0.00327029      0.00330653      0.00327083
     0.000726624        0.003466      0.00344441      0.00346395      0.00344363      0.00348179      0.00344428
      0.00076659      0.00364972      0.00362698       0.0036474      0.00362606      0.00366624      0.00362683
     0.000808754      0.00384318      0.00381915      0.00384039      0.00381807      0.00386039      0.00381898
     0.000853237      0.00404674      0.00402145      0.00404357      0.00402019      0.00406476      0.00402125
     0.000900166      0.00426105      0.00423433      0.00425725      0.00423288      0.00427977       0.0042341
     0.000949677      0.00448659      0.00445838      0.00448212      0.00445664      0.00450599      0.00445811
      0.00100191      0.00472387      0.00469409      0.00471868      0.00469211      0.00474399      0.00469377
      0.00105702      0.00497356      0.00494214      0.00496743      0.00493975      0.00499447      0.00494177
      0.00111516      0.00523624      0.00520309      0.00522906      0.00520033      0.00525786      0.00520265
      0.00117649      0.00551255      0.00547749      0.00550417      0.00547432      0.00553479      0.00547699
       0.0012412      0.00580322      0.00576619      0.00579341      0.00576243      0.00582609      0.00576559
      0.00130947      0.00610892      0.00606971      0.00609738      0.00606527      0.00613231      0.00606901
      0.00138149      0.00643029       0.0063889      0.00641679      0.00638363      0.00645421      0.00638807
      0.00145748      0.00676818      0.00672439      0.00675238      0.00671822      0.00679251      0.00672341
      0.00153764      0.00712336      0.00707701      0.00710482      0.00706977      0.00714789      0.00707587
      0.00162222      0.00749656      0.00744748      0.00747487      0.00743909      0.00752118      0.00744616
      0.00171144      0.00788863       0.0078366      0.00786322      0.00782678      0.00791305      0.00783505
      0.00180557      0.00830035      0.00824527      0.00827065       0.0082337      0.00832451      0.00824344
      0.00190488       0.0087328      0.00867417      0.00869795      0.00866069      0.00875626      0.00867205
      0.00200966      0.00918649      0.00912434      0.00914578      0.00910859      0.00920903      0.00912186
      0.00212019      0.00966268      0.00959656      0.00961497      0.00957798       0.0096836      0.00959363
      0.00223681       0.0101619       0.0100915       0.0101061       0.0100699       0.0101809       0.0100881
      0.00235984       0.0106852       0.0106103       0.0106199       0.0105851       0.0107018       0.0106064
      0.00248963       0.0112337       0.0111536       0.0111571        0.011124       0.0112469        0.011149
      0.00262657       0.0118078       0.0117222       0.0117181       0.0116877       0.0118167       0.0117168
      0.00277103       0.0124084       0.0123169       0.0123037       0.0122766       0.0124124       0.0123105
      0.00292345       0.0130365       0.0129385       0.0129141       0.0128911       0.0130343        0.012931
      0.00308424       0.0136926       0.0135874       0.0135494       0.0135322       0.0136829       0.0135787
      0.00325388       0.0143775       0.0142644       0.0142102       0.0141998       0.0143585       0.0142542
      0.00343285       0.0150918       0.0149695       0.0148961       0.0148943       0.0150618       0.0149577
      0.00362166       0.0158357       0.0157037       0.0156069       0.0156156       0.0157926       0.0156898
      0.00382086       0.0166095       0.0164663       0.0163425       0.0163637        0.016551       0.0164501
      0.00403102       0.0174132        0.017258       0.0171017       0.0171382       0.0173368       0.0172391
      0.00425273       0.0182471       0.0180779       0.0178835       0.0179384       0.0181496       0.0180559
      0.00448664       0.0191108       0.0189256       0.0186866       0.0187631       0.0189881       0.0188999
      0.00473341       0.0200032       0.0197999        0.019509       0.0196111       0.0198518         0.01977
      0.00499376       0.0209236          0.0207        0.020348       0.0204801       0.0207394       0.0206652
      0.00526843       0.0218706       0.0216241       0.0212008       0.0213683       0.0216487       0.0215836
       0.0055582       0.0228429       0.0225693       0.0220636       0.0222728       0.0225772       0.0225224
      0.00586391       0.0238382       0.0235335       0.0229322       0.0231897       0.0235229       0.0234791
      0.00618644       0.0248533       0.0245132       0.0238015       0.0241147       0.0244819       0.0244501
      0.00652671       0.0258853       0.0255041       0.0246657       0.0250432       0.0254507       0.0254311
      0.00688569       0.0269307        0.026502       0.0255175       0.0259694       0.0264253       0.0264176
      0.00726442       0.0279851       0.0275013       0.0263495       0.0268863       0.0274005       0.0274038
      0.00766397       0.0290429       0.0284951       0.0271529       0.0277874        0.028371       0.0283829
      0.00808551       0.0300993       0.0294775       0.0279181       0.0286637       0.0293305       0.0293483
      0.00853023        0.031148       0.0304407       0.0286344       0.0295062       0.0302728       0.0302922
       0.0089994       0.0321813       0.0313757       0.0292909       0.0303056       0.0311903       0.0312056
      0.00949439       0.0331928       0.0322739        0.029875       0.0310508        0.032076       0.0320793
       0.0100166       0.0341752       0.0331254       0.0303738       0.0317315       0.0329214       0.0329034
       0.0105675       0.0351187       0.0339211       0.0307742        0.032336       0.0337181       0.0336685
       0.0111488       0.0360164       0.0346511       0.0310629       0.0328534       0.0344574       0.0343642
        0.011762       0.0368592       0.0353054       0.0312262       0.0332726       0.0351301       0.0349806
       0.0124089       0.0376386       0.0358747       0.0312514       0.0335832       0.0357265       0.0355081
       0.0130914       0.0383459       0.0363501        0.031126       0.0337754        0.036237       0.0359375
       0.0138115       0.0389728       0.0367238       0.0308393       0.0338408       0.0366515        0.036261
       0.0145711       0.0395107       0.0369882       0.0303813       0.0337721       0.0369597        0.036471
       0.0153726        0.039952       0.0371379       0.0297453        0.033564       0.0371521       0.0365619
       0.0162181       0.0402885       0.0371675       0.0289262       0.0332124       0.0372187       0.0365286
       0.0171101       0.0405124       0.0370725       0.0279226       0.0327152       0.0371508       0.0363668
       0.0180512        0.040616       0.0368494       0.0267367       0.0320719       0.0369401       0.0360735
       0.0190441       0.0405922       0.0364951       0.0253754       0.0312835       0.0365806        0.035646
       0.0200915        0.040434       0.0360063       0.0238508       0.0303533        0.036068       0.0350822
