# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
      0.00021872     0.000508257     0.000506162     0.000508237     0.000506164      0.00050827     0.000506162
     0.000230603     0.000532251     0.000530061     0.000532222      0.00053005     0.000532262      0.00053006
     0.000243131     0.000557372     0.000555075     0.000557351     0.000555066     0.000557383     0.000555074
      0.00025634     0.000583681     0.000581283     0.000583656     0.000581272     0.000583699     0.000581282
     0.000270267     0.000611233     0.000608715       0.0006112     0.000608704     0.000611244     0.000608714
      0.00028495     0.000640079     0.000637444     0.000640044      0.00063743     0.000640093     0.000637443
     0.000300431     0.000670293     0.000667532     0.000670243     0.000667513     0.000670305      0.00066753
     0.000316753     0.000701931      0.00069904     0.000701867     0.000699016     0.000701944     0.000699037
     0.000333962     0.000735048      0.00073202     0.000734992     0.000732005     0.000735062     0.000732018
     0.000352105     0.000769743     0.000766562     0.000769674     0.000766546     0.000769757      0.00076656
     0.000371234     0.000806061      0.00080274     0.000805986      0.00080271     0.000806075     0.000802737
     0.000391403     0.000844103     0.000840611     0.000843997     0.000840583     0.000844106     0.000840609
     0.000412667     0.000883934      0.00088028     0.000883819     0.000880243      0.00088393     0.000880276
     0.000435087     0.000925637     0.000921806     0.000925499     0.000921754     0.000925636     0.000921801
     0.000458724     0.000969304     0.000965297     0.000969146     0.000965245      0.00096931     0.000965292
     0.000483646      0.00101502      0.00101083      0.00101483      0.00101077      0.00101502      0.00101082
     0.000509922      0.00106289      0.00105851       0.0010627      0.00105843      0.00106289      0.00105851
     0.000537625      0.00111304      0.00110843      0.00111278      0.00110833      0.00111302      0.00110842
     0.000566833      0.00116551      0.00116069      0.00116523      0.00116058      0.00116551      0.00116068
     0.000597628      0.00122048      0.00121543      0.00122014      0.00121529      0.00122046      0.00121541
     0.000630097      0.00127801      0.00127271      0.00127762      0.00127257      0.00127799       0.0012727
     0.000664329      0.00133826       0.0013327       0.0013378      0.00133252      0.00133821      0.00133268
     0.000700421      0.00140133       0.0013955      0.00140081      0.00139529      0.00140128      0.00139548
     0.000738473      0.00146736      0.00146124      0.00146674      0.00146103      0.00146729      0.00146122
     0.000778593      0.00153649      0.00153008      0.00153578      0.00152982      0.00153641      0.00153006
     0.000820893      0.00160886      0.00160213      0.00160802      0.00160181      0.00160876       0.0016021
     0.000865491       0.0016846      0.00167757      0.00168363      0.00167719      0.00168447      0.00167753
     0.000912511       0.0017639       0.0017565      0.00176276      0.00175607      0.00176374      0.00175646
     0.000962087      0.00184688      0.00183913      0.00184558      0.00183866      0.00184671      0.00183909
      0.00101436      0.00193378      0.00192562      0.00193223      0.00192505      0.00193356      0.00192556
      0.00106946      0.00202467      0.00201614       0.0020229      0.00201546      0.00202444      0.00201607
      0.00112757      0.00211985      0.00211088      0.00211775       0.0021101      0.00211954       0.0021108
      0.00118882      0.00221939         0.00221      0.00221699      0.00220907      0.00221905      0.00220991
      0.00125341       0.0023236      0.00231372      0.00232079      0.00231264      0.00232317      0.00231361
      0.00132151      0.00243259      0.00242221      0.00242933      0.00242099      0.00243211      0.00242209
       0.0013933      0.00254667      0.00253572      0.00254283      0.00253429      0.00254606      0.00253558
        0.001469      0.00266594      0.00265444      0.00266153      0.00265276      0.00266524      0.00265427
      0.00154881      0.00279072      0.00277863      0.00278555      0.00277669      0.00278989      0.00277844
      0.00163295      0.00292122      0.00290845      0.00291519      0.00290621      0.00292024      0.00290823
      0.00172167      0.00305763      0.00304421      0.00305065      0.00304161       0.0030565      0.00304396
       0.0018152      0.00320028      0.00318611       0.0031922      0.00318308      0.00319893      0.00318581
      0.00191382      0.00334937      0.00333447      0.00333995      0.00333089       0.0033478      0.00333412
      0.00201779       0.0035052      0.00348942      0.00349423      0.00348527      0.00350339      0.00348901
      0.00212742      0.00366802      0.00365136       0.0036552      0.00364654      0.00366587      0.00365089
        0.002243      0.00383806      0.00382041      0.00382316       0.0038148      0.00383547      0.00381986
      0.00236485      0.00401564      0.00399694      0.00399831      0.00399041      0.00401266      0.00399629
      0.00249333      0.00420097      0.00418119      0.00418082      0.00417361      0.00419753      0.00418045
      0.00262879      0.00439438      0.00437338      0.00437098      0.00436457      0.00439033      0.00437251
      0.00277161      0.00459617       0.0045738      0.00456894      0.00456361      0.00459141       0.0045728
      0.00292219      0.00480655      0.00478281      0.00477491      0.00477088      0.00480099      0.00478164
      0.00308094      0.00502578       0.0050005      0.00498904      0.00498667      0.00501936      0.00499914
      0.00324833      0.00525414      0.00522706      0.00521139      0.00521104      0.00524665      0.00522549
       0.0034248      0.00549181       0.0054629      0.00544218      0.00544427      0.00548316      0.00546107
      0.00361087      0.00573921      0.00570812      0.00568145      0.00568641      0.00572898      0.00570598
      0.00380704      0.00599621      0.00596288      0.00592931      0.00593772      0.00598443      0.00596041
      0.00401387      0.00626323       0.0062273      0.00618549      0.00619818      0.00624949      0.00622444
      0.00423194      0.00654041      0.00650154      0.00645011       0.0064677      0.00652442      0.00649821
      0.00446185       0.0068276       0.0067856      0.00672289      0.00674634      0.00680907      0.00678174
      0.00470426      0.00712515       0.0070795      0.00700354      0.00703398      0.00710353      0.00707502
      0.00495983      0.00743281      0.00738297      0.00729184      0.00733031       0.0074077      0.00737779
      0.00522929      0.00775064      0.00769621      0.00758721      0.00763517      0.00772142       0.0076902
      0.00551339      0.00807833      0.00801871      0.00788901      0.00794798       0.0080444      0.00801174
      0.00581292      0.00841563      0.00835011      0.00819644      0.00826834      0.00837654      0.00834205
      0.00612873      0.00876241      0.00868997      0.00850867      0.00859555      0.00871702      0.00868067
      0.00646169      0.00911803      0.00903773      0.00882457      0.00892861      0.00906526      0.00902698
      0.00681275      0.00948177      0.00939253      0.00914257      0.00926674      0.00942077      0.00938013
      0.00718287      0.00985297      0.00975329      0.00946121      0.00960834      0.00978241      0.00973899
       0.0075731       0.0102307       0.0101192       0.0097787      0.00995215       0.0101492       0.0101027
      0.00798454        0.010614       0.0104887       0.0100928       0.0102965       0.0105198       0.0104697
      0.00841833       0.0110015       0.0108602       0.0104012       0.0106394       0.0108928       0.0108384
      0.00887568       0.0113917        0.011232       0.0107011       0.0109786       0.0112664        0.011207
      0.00935788        0.011783       0.0116019       0.0109893       0.0113116       0.0116386       0.0115732
      0.00986628       0.0121735       0.0119677       0.0112627       0.0116356       0.0120073       0.0119349
       0.0104023        0.012561       0.0123268       0.0115173       0.0119476       0.0123701       0.0122893
       0.0109674       0.0129434       0.0126765       0.0117494       0.0122442       0.0127244       0.0126337
       0.0115633       0.0133182       0.0130138       0.0119546       0.0125219       0.0130672        0.012965
       0.0121915       0.0136827       0.0133353       0.0121284        0.012777       0.0133956       0.0132799
       0.0128538       0.0140342       0.0136379       0.0122661       0.0130055       0.0137063        0.013575
       0.0135522       0.0143699        0.013918       0.0123631       0.0132037        0.013996        0.013847
       0.0142884       0.0146866       0.0141723       0.0124145       0.0133674       0.0142612       0.0140922
       0.0150647       0.0149812       0.0143972       0.0124156        0.013493       0.0144982       0.0143071
       0.0158831       0.0152509       0.0145896       0.0123622       0.0135767       0.0147037       0.0144885
        0.016746       0.0154922       0.0147462       0.0122501       0.0136154       0.0148739       0.0146331
       0.0176558       0.0157023       0.0148643       0.0120758       0.0136061       0.0150055       0.0147382
        0.018615        0.015878       0.0149411       0.0118366       0.0135463       0.0150949        0.014801
       0.0196264       0.0160164       0.0149745       0.0115306       0.0134343        0.015139       0.0148194
       0.0206926       0.0161143       0.0149622        0.011157       0.0132688       0.0151346       0.0147913
       0.0218168       0.0161688       0.0149027       0.0107165       0.0130491        0.015079       0.0147151
       0.0230021       0.0161772       0.0147944       0.0102112       0.0127752       0.0149693       0.0145894
       0.0242518       0.0161367       0.0146359      0.00964497        0.012448       0.0148037        0.014413
       0.0255693       0.0160447        0.014426      0.00902396       0.0120689       0.0145804        0.014185
