# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         436.516     1.33914e-12     1.33914e-12     1.33914e-12
         464.159     1.12794e-12     1.12794e-12     1.12794e-12
         493.552     9.49959e-13     9.49959e-13     9.49959e-13
         524.807     7.99975e-13     7.99975e-13     7.99975e-13
         558.042     6.73603e-13     6.73603e-13     6.73603e-13
         593.381     5.67137e-13     5.67137e-13     5.67137e-13
         630.957     4.77451e-13     4.77451e-13     4.77451e-13
         670.914     4.01909e-13     4.01909e-13     4.01909e-13
           713.4     3.38286e-13     3.38286e-13     3.38286e-13
         758.578     2.84708e-13     2.84708e-13     2.84708e-13
         806.616     2.39593e-13     2.39593e-13     2.39593e-13
         857.696     2.01609e-13     2.01609e-13     2.01609e-13
         912.011     1.69631e-13     1.69631e-13     1.69631e-13
         969.765     1.42712e-13     1.42712e-13     1.42712e-13
         1031.18     1.20054e-13     1.20054e-13     1.20054e-13
         1096.48     1.00985e-13     1.00985e-13     1.00985e-13
         1165.91     8.49373e-14     8.49373e-14     8.49373e-14
         1239.75     7.14337e-14     7.14337e-14     7.14337e-14
         1318.26     6.00719e-14     6.00719e-14     6.00719e-14
         1401.74      5.0513e-14      5.0513e-14      5.0513e-14
          1490.5     4.24717e-14     4.24717e-14     4.24717e-14
         1584.89     3.57076e-14     3.57076e-14     3.57076e-14
         1685.26     3.00184e-14     3.00184e-14     3.00184e-14
         1791.98     2.52336e-14     2.52336e-14     2.52336e-14
         1905.46     2.12098e-14     2.12098e-14     2.12098e-14
         2026.13     1.78263e-14     1.78263e-14     1.78263e-14
         2154.43     1.49814e-14     1.49814e-14     1.49814e-14
         2290.87     1.25896e-14     1.25896e-14     1.25896e-14
         2435.94     1.05789e-14     1.05789e-14     1.05789e-14
          2590.2     8.88861e-15     8.88861e-15     8.88861e-15
         2754.23     7.46788e-15     7.46788e-15     7.46788e-15
         2928.64     6.27378e-15     6.27378e-15     6.27378e-15
         3114.11     5.27024e-15     5.27024e-15     5.27024e-15
         3311.31     4.42692e-15     4.42692e-15     4.42692e-15
         3521.01     3.71829e-15     3.71829e-15     3.71829e-15
         3743.98     3.12287e-15     3.12287e-15     3.12287e-15
         3981.07     2.62263e-15     2.62263e-15     2.62263e-15
         4233.18     2.20236e-15     2.20236e-15     2.20236e-15
         4501.25     1.84933e-15     1.84933e-15     1.84933e-15
          4786.3     1.55278e-15     1.55278e-15     1.55278e-15
          5089.4      1.3037e-15      1.3037e-15      1.3037e-15
          5411.7     1.09451e-15     1.09451e-15     1.09451e-15
          5754.4     9.18821e-16     9.18821e-16     9.18821e-16
         6118.81     7.71289e-16     7.71289e-16     7.71289e-16
         6506.29     6.47405e-16     6.47405e-16     6.47405e-16
         6918.31     5.43386e-16     5.43386e-16     5.43386e-16
         7356.42     4.56053e-16     4.56053e-16     4.56053e-16
         7822.28     3.82733e-16     3.82733e-16     3.82733e-16
         8317.64     3.21181e-16     3.21181e-16     3.21181e-16
         8844.37     2.69513e-16     2.69513e-16     2.69513e-16
         9404.45     2.26144e-16     2.26144e-16     2.26144e-16
