#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.584021E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.291236E+00
   0.595818E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.297119E+00
   0.607853E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.303120E+00
   0.620131E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.309243E+00
   0.632658E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.315490E+00
   0.645437E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.321862E+00
   0.658474E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.328364E+00
   0.671775E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.334996E+00
   0.685344E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.341763E+00
   0.699188E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.348666E+00
   0.713311E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.355709E+00
   0.727719E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.362894E+00
   0.742418E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.370224E+00
   0.757415E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.377702E+00
   0.772714E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.385332E+00
   0.788322E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.393115E+00
   0.804245E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.401056E+00
   0.820491E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.409157E+00
   0.837064E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.417421E+00
   0.853972E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.425853E+00
   0.871221E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.434455E+00
   0.888819E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.443231E+00
   0.906773E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.452183E+00
   0.925089E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.461317E+00
   0.943775E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.470635E+00
   0.962839E-05   0.106631E+06   0.106631E+06   0.142175E+06   0.142175E+06   0.106907E+06   0.106867E+06   0.106631E+06   0.113545E+06  -0.606543E+00   0.106309E+06   0.106309E+06   0.480142E+00
