#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.106055E-04   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.564991E+00
   0.108194E-04   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.576384E+00
   0.110376E-04   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.588007E+00
   0.112602E-04   0.107677E+06   0.107677E+06   0.143570E+06   0.143570E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.599865E+00
   0.114872E-04   0.107677E+06   0.107677E+06   0.143570E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.611962E+00
   0.117189E-04   0.107677E+06   0.107677E+06   0.143570E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.624302E+00
   0.119552E-04   0.107677E+06   0.107677E+06   0.143570E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.636891E+00
   0.121963E-04   0.107677E+06   0.107677E+06   0.143570E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.649735E+00
   0.124422E-04   0.107677E+06   0.107677E+06   0.143570E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.662837E+00
   0.126931E-04   0.107677E+06   0.107677E+06   0.143570E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.676204E+00
   0.129491E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.689840E+00
   0.132102E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.703751E+00
   0.134766E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.717942E+00
   0.137484E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.732420E+00
   0.140256E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.747190E+00
   0.143085E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.762257E+00
   0.145970E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.777628E+00
   0.148914E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.793310E+00
   0.151916E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.809307E+00
   0.154980E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.825627E+00
   0.158105E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.842277E+00
   0.161293E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.859262E+00
   0.164546E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.876589E+00
   0.167864E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.894266E+00
   0.171249E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.912299E+00
   0.174703E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.930696E+00
   0.178226E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.949465E+00
   0.181820E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.968611E+00
   0.185486E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.988144E+00
   0.189227E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.100807E+01
   0.193042E-04   0.107677E+06   0.107677E+06   0.143569E+06   0.143569E+06   0.107679E+06   0.107679E+06   0.107677E+06   0.114456E+06  -0.605652E+00   0.107456E+06   0.107456E+06   0.102840E+01
