# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_ncdm[0]        12:(.)p_ncdm[0]          13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       4.983860242006e+12       2.855377698176e-23       8.726419764571e-08       5.711265277710e+19       1.414696923039e+04       2.838556569293e-09       7.050651749223e+16       5.038170905984e-08       1.697627856755e+39       3.082979054078e+29       3.906322001833e+38       1.302107333944e+38       3.501956553842e-08       1.173595049992e+39       3.261855107238e+39       3.261855107238e+39       1.087285035643e+39      -4.983906425548e+46       1.522153793168e-02       2.857987647980e-01 
       4.930575717662e+12       2.917427072149e-23       8.820643415675e-08       5.589795083063e+19       1.414696923039e+04       2.869232730715e-09       6.975270296587e+16       5.092618207004e-08       1.626183694285e+39       2.985148261909e+29       3.741925604444e+38       1.247308534815e+38       3.501956553842e-08       1.124204652036e+39       3.124580907064e+39       3.124580907064e+39       1.041526968922e+39      -4.723117674799e+46       1.526829918472e-02       2.849234670252e-01 
       4.877860880347e+12       2.980824822424e-23       8.915958460420e-08       5.470908380422e+19       1.414696923039e+04       2.900240408123e-09       6.900694778438e+16       5.147653917703e-08       1.557746238103e+39       2.890421890409e+29       3.584447780450e+38       1.194815926817e+38       3.501956553842e-08       1.076892834261e+39       2.993083850697e+39       2.993083850697e+39       9.976946168028e+38      -4.475975001386e+46       1.531506043777e-02       2.840535143199e-01 
       4.825709639299e+12       3.045600251288e-23       9.012364898808e-08       5.354550222720e+19       1.414696923039e+04       2.931583184196e-09       6.826916578196e+16       5.203284397033e-08       1.492188951870e+39       2.798701428388e+29       3.433597363751e+38       1.144532454584e+38       3.501956553842e-08       1.031572120238e+39       2.867120808763e+39       2.867120808763e+39       9.557069361609e+38      -4.241764358302e+46       1.536182169081e-02       2.831888578728e-01 
       4.774115968878e+12       3.111783294958e-23       9.109680831898e-08       5.240666831532e+19       1.414696923038e+04       2.963264680331e-09       6.753927171402e+16       5.259516072584e-08       1.429390624493e+39       2.709891490669e+29       3.289095441886e+38       1.096365147295e+38       3.501956553842e-08       9.881587149590e+38       2.746458883911e+39       2.746458883911e+39       9.154862945468e+38      -4.019809061890e+46       1.540858294386e-02       2.823294494627e-01 
       4.723073907862e+12       3.179404544098e-23       9.208270057570e-08       5.129205572222e+19       1.414696923038e+04       2.995288557062e-09       6.681718124737e+16       5.316355441519e-08       1.369235146010e+39       2.623899718888e+29       3.150674840343e+38       1.050224946781e+38       3.501956553842e-08       9.465723499046e+38       2.630874980211e+39       2.630874980211e+39       8.769583266496e+38      -3.809467836757e+46       1.545534419691e-02       2.814752414581e-01 
       4.672577558767e+12       3.248495249361e-23       9.307768777944e-08       5.020114929615e+19       1.414696923038e+04       3.027658514482e-09       6.610281095046e+16       5.373809071086e-08       1.311611292913e+39       2.540636685450e+29       3.018079628567e+38       1.006026542856e+38       3.501956553842e-08       9.067361346311e+38       2.520155390655e+39       2.520155390655e+39       8.400517968002e+38      -3.610132962997e+46       1.550210544996e-02       2.806261867948e-01 
       4.622621087159e+12       3.319087345911e-23       9.408358891960e-08       4.913344484189e+19       1.414696923038e+04       3.060378292670e-09       6.539607828376e+16       5.431883599650e-08       1.256412522502e+39       2.460015800523e+29       2.891064646766e+38       9.636882155887e+37       3.501956553842e-08       8.685764146064e+38       2.414095402031e+39       2.414095402031e+39       8.046984672617e+38      -3.421228520363e+46       1.554886670300e-02       2.797822389831e-01 
       4.573198720982e+12       3.391213457367e-23       9.510040399618e-08       4.808844888768e+19       1.414696923038e+04       3.093451672124e-09       6.469690159016e+16       5.490585737169e-08       1.203536775895e+39       2.381953221994e+29       2.769395052625e+38       9.231316842083e+37       3.501956553842e-08       8.320226350276e+38       2.312498916423e+39       2.312498916423e+39       7.708329720617e+38      -3.242208724310e+46       1.559562795605e-02       2.789433520825e-01 
       4.524304749894e+12       3.464906921032e-23       9.612813300919e-08       4.706567845721e+19       1.414696923038e+04       3.126882474198e-09       6.400520008563e+16       5.549922266240e-08       1.152886289327e+39       2.306367768272e+29       2.652845887096e+38       8.842819623654e+37       3.501956553842e-08       7.970072103696e+38       2.215178088637e+39       2.215178088637e+39       7.383926961356e+38      -3.072556349107e+46       1.564238920911e-02       2.781094807089e-01 
