# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_ncdm[0]        12:(.)p_ncdm[0]          13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       8.065578922741e+13       1.090245173076e-25       5.391484592110e-09       1.495793744284e+22       1.423913801857e+04       1.765420455862e-10       1.148468914806e+18       3.113172644338e-09       1.164451092389e+44       1.306711291147e+33       2.679457045994e+43       8.931523486648e+42       1.731540006286e-08       8.050021284391e+43       2.237398925440e+44       2.237398925440e+44       7.457996418091e+43      -5.532460592815e+52       3.352246800525e-03       1.398641299535e+00 
       7.979346461238e+13       1.113936970437e-25       5.449692253023e-09       1.463980415987e+22       1.423913801857e+04       1.784499280454e-10       1.136190155596e+18       3.146816570104e-09       1.115445515164e+44       1.265246007567e+33       2.566692894674e+43       8.555642982246e+42       1.731540006286e-08       7.711238537489e+43       2.143238658393e+44       2.143238658393e+44       7.144128861269e+43      -5.242968101707e+52       3.402644369933e-03       1.377925610712e+00 
       7.894035946874e+13       1.138143607391e-25       5.509718903340e-09       1.432843710293e+22       1.423913801857e+04       1.803784289101e-10       1.124042673711e+18       3.180824084370e-09       1.068502323054e+44       1.225096523241e+33       2.458674389059e+43       8.195581296863e+42       1.731540006286e-08       7.386713361536e+43       2.053041098126e+44       2.053041098126e+44       6.843470327045e+43      -4.968623644824e+52       3.453041939341e-03       1.357814617906e+00 
       7.809637522728e+13       1.162876271635e-25       5.569745553657e-09       1.402369236437e+22       1.423913801857e+04       1.823277710026e-10       1.112025065612e+18       3.215199116413e-09       1.023534721195e+44       1.186221084502e+33       2.355201810064e+43       7.850672700212e+42       1.731540006286e-08       7.075845730907e+43       1.966639475304e+44       1.966639475304e+44       6.555464917639e+43      -4.708634583504e+52       3.503439508750e-03       1.338282225159e+00 
       7.726141437266e+13       1.188146394224e-25       5.629772203974e-09       1.372542909723e+22       1.423913801857e+04       1.842981795530e-10       1.100135942763e+18       3.249945637985e-09       9.804595674597e+43       1.148579262631e+33       2.256083843722e+43       7.520279479072e+42       1.731540006286e-08       6.778060871876e+43       1.883874039031e+44       1.883874039031e+44       6.279580130065e+43      -4.462249754831e+52       3.553837078159e-03       1.319303816794e+00 
       7.643538043208e+13       1.213965654299e-25       5.689798854291e-09       1.343350945018e+22       1.423913801857e+04       1.862898822257e-10       1.088373931475e+18       3.285067663745e-09       9.391972187335e+43       1.112131911819e+33       2.161137227456e+43       7.203790758188e+42       1.731540006286e-08       6.492808199900e+43       1.804591761480e+44       1.804591761480e+44       6.015305871564e+43      -4.228757301374e+52       3.604234647568e-03       1.300856153928e+00 
       7.561817796419e+13       1.240345985110e-25       5.751644494012e-09       1.314779850376e+22       1.423913801857e+04       1.883031091455e-10       1.076737672745e+18       3.320569251756e-09       8.996713836576e+43       1.076841128449e+33       2.070186411243e+43       6.900621370811e+42       1.731540006286e-08       6.219560301621e+43       1.728646054955e+44       1.728646054955e+44       5.762153516480e+43      -4.007482614473e+52       3.654632216977e-03       1.282917279535e+00 
       7.480971254804e+13       1.267299579417e-25       5.813490133733e-09       1.286816420806e+22       1.423913801857e+04       1.903380929238e-10       1.065225822101e+18       3.356454503944e-09       8.618089815724e+43       1.042670211687e+33       1.983063233028e+43       6.610210776759e+42       1.731540006286e-08       5.957811959714e+43       1.655896500857e+44       1.655896500857e+44       5.519655002822e+43      -3.797786385160e+52       3.705029786387e-03       1.265466431280e+00 
       7.400989077217e+13       1.294838894416e-25       5.877154762857e-09       1.259447732169e+22       1.423913801857e+04       1.923950686862e-10       1.053837049444e+18       3.392727566544e-09       8.255400073962e+43       1.009583625307e+33       1.899606607805e+43       6.332022026018e+42       1.731540006286e-08       5.707079218778e+43       1.586208590065e+44       1.586208590065e+44       5.287361966848e+43      -3.599062757058e+52       3.755427355796e-03       1.248483961323e+00 
       7.321862022383e+13       1.322976658409e-25       5.939000402577e-09       1.232661135200e+22       1.423913801857e+04       1.944742740992e-10       1.042570038897e+18       3.429392630616e-09       7.907974021903e+43       9.775469607398e+32       1.819662229786e+43       6.065540765953e+42       1.731540006286e-08       5.466898490527e+43       1.519453474231e+44       1.519453474231e+44       5.064844914072e+43      -3.410737575936e+52       3.805824925206e-03       1.231951262562e+00 
       7.243580947828e+13       1.351725876152e-25       6.004484021105e-09       1.206444249667e+22       1.423913801857e+04       1.965759493975e-10       1.031423488648e+18       3.466453932506e-09       7.575169291715e+43       9.465269012863e+32       1.743082287092e+43       5.810274290308e+42       1.731540006286e-08       5.236825696652e+43       1.455507727555e+44       1.455507727555e+44       4.851692425153e+43      -3.232266730855e+52       3.856222494616e-03       1.215850700609e+00 
       7.166136808825e+13       1.381099834534e-25       6.068148650229e-09       1.180784958649e+22       1.423913801857e+04       1.987003374124e-10       1.020396110808e+18       3.503915754322e-09       7.256370549422e+43       9.164911874726e+32       1.669725188467e+43       5.565750628223e+42       1.731540006286e-08       5.016435447747e+43       1.394253118573e+44       1.394253118573e+44       4.647510395212e+43      -3.063134582123e+52       3.906620064026e-03       1.200165551041e+00 
       7.089520657347e+13       1.411112110229e-25       6.135451258160e-09       1.155671402932e+22       1.423913801857e+04       2.008476835992e-10       1.009486631255e+18       3.541782424490e-09       6.950988357200e+43       8.874085834999e+32       1.599455301477e+43       5.331517671591e+42       1.731540006286e-08       4.805320256793e+43       1.335576391556e+44       1.335576391556e+44       4.451921305157e+43      -2.902852471496e+52       3.957017633437e-03       1.184879941478e+00 
       7.013723641037e+13       1.441776573347e-25       6.200934876688e-09       1.131091975531e+22       1.423913801857e+04       2.030182360659e-10       9.986937894884e+17       3.580058318150e-09       6.658458083535e+43       8.592488447607e+32       1.532142701741e+43       5.107142339138e+42       1.731540006286e-08       4.603089785739e+43       1.279369057110e+44       1.279369057110e+44       4.264563523672e+43      -2.750957310347e+52       4.007415202847e-03       1.169978797967e+00 
       6.938737002177e+13       1.473107397431e-25       6.268237484619e-09       1.107035316322e+22       1.423913801857e+04       2.052122456018e-10       9.880163384857e+17       3.618747857804e-09       6.378238859265e+43       8.319826863865e+32       1.467662932707e+43       4.892209775690e+42       1.731540006286e-08       4.409370123796e+43       1.225527191585e+44       1.225527191585e+44       4.085090638589e+43      -2.607010241707e+52       4.057812772259e-03       1.155447795450e+00 
       6.864552076686e+13       1.505119061801e-25       6.335540092550e-09       1.083490306798e+22       1.423913801857e+04       2.074299657065e-10       9.774530445561e+17       3.657855513658e-09       6.109812577545e+43       8.055817527920e+32       1.405896775538e+43       4.686322585125e+42       1.731540006286e-08       4.223803096099e+43       1.173951244926e+44       1.173951244926e+44       3.913170816394e+43      -2.470595372309e+52       4.108210341671e-03       1.141273311773e+00 
       6.791160293113e+13       1.537826362812e-25       6.404661689885e-09       1.060446064924e+22       1.423913801857e+04       2.096716526190e-10       9.670026871988e+17       3.697385804326e-09       5.852682935902e+43       7.800185881873e+32       1.346730028687e+43       4.489100095623e+42       1.731540006286e-08       4.046045601464e+43       1.124545856613e+44       1.124545856613e+44       3.748486188685e+43      -2.341318570993e+52       4.158607911084e-03       1.127442385149e+00 
       6.718553171646e+13       1.571244416044e-25       6.473783287220e-09       1.037891940110e+22       1.423913801857e+04       2.119375653476e-10       9.566640589618e+17       3.737343297161e-09       5.606374518605e+43       7.552666080245e+32       1.290053296746e+43       4.300177655821e+42       1.731540006286e-08       3.875768978021e+43       1.077219679345e+44       1.077219679345e+44       3.590732264457e+43      -2.218806329970e+52       4.209005480498e-03       1.113942674569e+00 
       6.646722323137e+13       1.605388667566e-25       6.542904884554e-09       1.015817508288e+22       1.423913801857e+04       2.142279656998e-10       9.464359653028e+17       3.777732608954e-09       5.370431917652e+43       7.313000713516e+32       1.235761788180e+43       4.119205960599e+42       1.731540006286e-08       3.712658395534e+43       1.031885210144e+44       1.031885210144e+44       3.439617367122e+43      -2.102704685689e+52       4.259403049912e-03       1.100762423127e+00 
       6.575659448129e+13       1.640274897600e-25       6.613845471293e-09       9.942125670951e+21       1.423913801857e+04       2.165431183122e-10       9.363172244504e+17       3.818558406333e-09       5.144418890750e+43       7.080940540422e+32       1.183755121573e+43       3.945850405243e+42       1.731540006286e-08       3.556412273305e+43       9.884586285699e+43       9.884586285699e+43       3.294862095209e+43      -1.992678196152e+52       4.309800619327e-03       1.087890423825e+00 
       6.505356335897e+13       1.675919230060e-25       6.684786058031e-09       9.730671311583e+21       1.423913801857e+04       2.188832906815e-10       9.263066672683e+17       3.859825406387e-09       4.927917554735e+43       6.856244228764e+32       1.133937140033e+43       3.779790466776e+42       1.731540006286e-08       3.406741722570e+43       9.468596417406e+43       9.468596417406e+43       3.156198805779e+43      -1.888408971762e+52       4.360198188743e-03       1.075315987822e+00 
       6.435804863501e+13       1.712338139231e-25       6.757545634173e-09       9.523714274777e+21       1.423913801857e+04       2.212487531952e-10       9.164031371199e+17       3.901538377182e-09       4.720527612930e+43       6.638678104429e+32       1.086215733400e+43       3.620719111333e+42       1.731540006286e-08       3.263370012362e+43       9.070113358759e+43       9.070113358759e+43       3.023371119564e+43      -1.789595756866e+52       4.410595758159e-03       1.063028914819e+00 
       6.366996994847e+13       1.749548456699e-25       6.830305210315e-09       9.321158909110e+21       1.423913801857e+04       2.236397791627e-10       9.066054897346e+17       3.943702138287e-09       4.521865615026e+43       6.428015908379e+32       1.040502667945e+43       3.468342226483e+42       1.731540006286e-08       3.126032057854e+43       8.688400340889e+43       8.688400340889e+43       2.896133446942e+43      -1.695953059364e+52       4.460993327576e-03       1.051019465458e+00 
       6.298924779757e+13       1.787567381155e-25       6.904883775860e-09       9.122911597526e+21       1.423913801857e+04       2.260566448473e-10       8.969125930756e+17       3.986321561403e-09       4.331564248103e+43       6.224038561352e+32       9.967134232272e+42       3.322378077424e+42       1.731540006286e-08       2.994473930236e+43       8.322751601628e+43       8.322751601628e+43       2.774250533855e+43      -1.607210325870e+52       4.511390896995e-03       1.039278335594e+00 
       6.231580353053e+13       1.826412483063e-25       6.979462341405e-09       8.928880714064e+21       1.423913801857e+04       2.284996294976e-10       8.873233272095e+17       4.029401570809e-09       4.149271657499e+43       6.026533936032e+32       9.547670358246e+42       3.182556786082e+42       1.731540006286e-08       2.868452387215e+43       7.972491080598e+43       7.972491080598e+43       2.657497026846e+43      -1.523111160017e+52       4.561788466415e-03       1.027796632223e+00 
       6.164955933647e+13       1.866101717194e-25       7.054040906951e-09       8.738976581512e+21       1.423913801857e+04       2.309690153803e-10       8.778365841762e+17       4.072947144090e-09       3.974650796248e+43       5.835296636442e+32       9.145859496361e+42       3.048619832120e+42       1.731540006286e-08       2.747734423279e+43       7.636971169221e+43       7.636971169221e+43       2.545657056388e+43      -1.443412581680e+52       4.612186035836e-03       1.016565851062e+00 
       6.099043823641e+13       1.906653425602e-25       7.130438461900e-09       8.553111429960e+21       1.423913801857e+04       2.334650878123e-10       8.684512678614e+17       4.116963312521e-09       3.807378801907e+43       5.650127784345e+32       8.760958724861e+42       2.920319574954e+42       1.731540006286e-08       2.632096838881e+43       7.315571513331e+43       7.315571513331e+43       2.438523837758e+43      -1.367884324957e+52       4.662583605257e-03       1.005577855492e+00 
       6.033836407438e+13       1.948086352105e-25       7.208655006252e-09       8.371199356236e+21       1.423913801857e+04       2.359881351940e-10       8.591662938699e+17       4.161455161861e-09       3.647146399602e+43       5.470834812417e+32       8.392256387633e+42       2.797418795878e+42       1.731540006286e-08       2.521325827764e+43       7.007697866184e+43       7.007697866184e+43       2.335899288710e+43      -1.296308172875e+52       4.712981174678e-03       9.948248569507e-01 
       5.969326150864e+13       1.990419644722e-25       7.285052561201e-09       8.193156284200e+21       1.423913801857e+04       2.385384490427e-10       8.499805894002e+17       4.206427832723e-09       3.493657330200e+43       5.297231263987e+32       8.039070778395e+42       2.679690259465e+42       1.731540006286e-08       2.415216581641e+43       6.712780989733e+43       6.712780989733e+43       2.237593663227e+43      -1.228477326922e+52       4.763378744099e-03       9.842993964687e-01 
