# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       7.243580947828e+13       1.440746274646e-25       6.399204721674e-09       1.131900834390e+22       1.448072504039e+04       1.999111371115e-10       1.048923040133e+18       3.694743644110e-09       7.575169291715e+43       9.557118845306e+32       4.736271286169e+33       3.592470360975e-08       5.236825696652e+43       1.281199498894e+44       1.281199498894e+44       4.270664996122e+43      -2.669380963548e+52       9.530191871555e-06       1.215850700615e+00 
       7.166136808825e+13       1.472054709186e-25       6.468326319009e-09       1.107826971946e+22       1.448072504039e+04       2.020715683597e-10       1.037708567304e+18       3.734672583235e-09       7.256370549422e+43       9.253847077614e+32       4.585977312800e+33       3.592470360975e-08       5.016435447747e+43       1.227280599772e+44       1.227280599772e+44       4.090935332390e+43      -2.529702472958e+52       9.654743426090e-06       1.200165551046e+00 
       7.089520657347e+13       1.504043498603e-25       6.539266905747e-09       1.084265125074e+22       1.448072504039e+04       2.042553472975e-10       1.026613993072e+18       3.775033032747e-09       6.950988357200e+43       8.960198896964e+32       4.440452550708e+33       3.592470360975e-08       4.805320256793e+43       1.175630861453e+44       1.175630861453e+44       3.918769537997e+43      -2.397332823257e+52       9.779294980626e-06       1.184879941484e+00 
       7.013723641037e+13       1.536727426447e-25       6.608388503082e-09       1.061204403958e+22       1.448072504039e+04       2.064627262424e-10       1.015638035552e+18       3.815829655917e-09       6.658458083535e+43       8.675868922384e+32       4.299545660650e+33       3.592470360975e-08       4.603089785739e+43       1.126154786979e+44       1.126154786979e+44       3.753849289758e+43      -2.271889570770e+52       9.903846535164e-06       1.169978797973e+00 
       6.938737002177e+13       1.570121599686e-25       6.681148079224e-09       1.038634150390e+22       1.448072504039e+04       2.086939602387e-10       1.004779426561e+18       3.857067166501e-09       6.378238859265e+43       8.400561463416e+32       4.163110105764e+33       3.592470360975e-08       4.409370123796e+43       1.078760898356e+44       1.078760898356e+44       3.595869661020e+43      -2.153010283638e+52       1.002839808970e-05       1.155447795457e+00 
       6.864552076686e+13       1.604241451204e-25       6.752088665962e-09       1.016543932849e+22       1.448072504039e+04       2.109493070870e-10       9.940369114796e+17       3.898750329098e-09       6.109812577545e+43       8.133990212618e+32       4.031003999174e+33       3.592470360975e-08       4.223803096099e+43       1.033361567413e+44       1.033361567413e+44       3.444538557881e+43      -2.040351494672e+52       1.015294964424e-05       1.141273311780e+00 
       6.791160293113e+13       1.639102751795e-25       6.826667231508e-09       9.949235416772e+21       1.448072504039e+04       2.132290273737e-10       9.834092490980e+17       3.940883959903e-09       5.852682935902e+43       7.875877947814e+32       3.903089956439e+33       3.592470360975e-08       4.046045601464e+43       9.898728537836e+43       9.898728537836e+43       3.299576179122e+43      -1.933587709008e+52       1.027750119879e-05       1.127442385156e+00 
       6.718553171646e+13       1.674721612504e-25       6.899426807649e-09       9.737629843591e+21       1.448072504039e+04       2.155333845017e-10       9.728952114787e+17       3.983472927060e-09       5.606374518605e+43       7.625956243792e+32       3.779234952676e+33       3.592470360975e-08       3.875768978021e+43       9.482143497080e+43       9.482143497080e+43       3.160714498875e+43      -1.832410463682e+52       1.040205275333e-05       1.113942674576e+00 
       6.646722323137e+13       1.711114496630e-25       6.974005373195e-09       9.530524809068e+21       1.448072504039e+04       2.178626447202e-10       9.624935838120e+17       4.026522151409e-09       5.370431917652e+43       7.383965193160e+32       3.659310184221e+33       3.592470360975e-08       3.712658395534e+43       9.083090313626e+43       9.083090313626e+43       3.027696771062e+43      -1.736527436417e+52       1.052660430788e-05       1.100762423134e+00 
       6.575659448129e+13       1.748298223629e-25       7.050402928144e-09       9.327824593377e+21       1.448072504039e+04       2.202170771559e-10       9.522031642762e+17       4.070036606907e-09       5.144418890750e+43       7.149653136048e+32       3.543190934679e+33       3.592470360975e-08       3.556412273305e+43       8.700831164481e+43       8.700831164481e+43       2.900277054685e+43      -1.645661601043e+52       1.065115586243e-05       1.087890423833e+00 
       6.505356335897e+13       1.786289979288e-25       7.124981493689e-09       9.129435512515e+21       1.448072504039e+04       2.225969538438e-10       9.420227638991e+17       4.114021321295e-09       4.927917554735e+43       6.922776398398e+32       3.430756445224e+33       3.592470360975e-08       3.406741722570e+43       8.334659277718e+43       8.334659277718e+43       2.778219759102e+43      -1.559550427106e+52       1.077570741698e-05       1.075315987830e+00 
       6.435804863501e+13       1.825107322834e-25       7.203198038042e-09       8.935265874999e+21       1.448072504039e+04       2.250025497590e-10       9.319512064199e+17       4.158481376650e-09       4.720527612930e+43       6.703099038552e+32       3.321889789017e+33       3.592470360975e-08       3.263370012362e+43       7.983897625692e+43       7.983897625692e+43       2.661299208431e+43      -1.477945121370e+52       1.090025897153e-05       1.063028914827e+00 
       6.366996994847e+13       1.864768194328e-25       7.281414582394e-09       8.745225939486e+21       1.448072504039e+04       2.274341428481e-10       9.219873281539e+17       4.203421909939e-09       4.521865615026e+43       6.490392601880e+32       3.216477749604e+33       3.592470360975e-08       3.126032057854e+43       7.647897673266e+43       7.647897673266e+43       2.549299224293e+43      -1.400609908995e+52       1.102481052608e-05       1.051019465466e+00 
       6.298924779757e+13       1.905290925114e-25       7.359631126747e-09       8.559227873303e+21       1.448072504039e+04       2.298920140614e-10       9.121299778578e+17       4.248848113702e-09       4.331564248103e+43       6.284435883203e+32       3.114410703180e+33       3.592470360975e-08       2.994473930236e+43       7.326038178713e+43       7.326038178713e+43       2.442012726113e+43      -1.327321352335e+52       1.114936208064e-05       1.039278335603e+00 
       6.231580353053e+13       1.946694242791e-25       7.437847671099e-09       8.377185711846e+21       1.448072504039e+04       2.323764473854e-10       9.023780165968e+17       4.294765236514e-09       4.149271657499e+43       6.085014696746e+32       3.015582504582e+33       3.592470360975e-08       2.868452387215e+43       7.017724045076e+43       7.017724045076e+43       2.339241348238e+43      -1.257867705383e+52       1.127391363520e-05       1.027796632232e+00 
       6.164955933647e+13       1.988997284573e-25       7.519702194259e-09       8.199015318852e+21       1.448072504039e+04       2.348877298759e-10       8.927303176129e+17       4.341178583768e-09       3.974650796248e+43       5.891921653394e+32       2.919890376903e+33       3.592470360975e-08       2.747734423279e+43       6.722385219877e+43       6.722385219877e+43       2.240795073175e+43      -1.192048301990e+52       1.139846518977e-05       1.016565851071e+00 
       6.099043823641e+13       2.032219600466e-25       7.599737728015e-09       8.024634347513e+21       1.448072504039e+04       2.374261516906e-10       8.831857661945e+17       4.388093518082e-09       3.807378801907e+43       5.704955945020e+32       2.827234804612e+33       3.592470360975e-08       2.632096838881e+43       6.439475641128e+43       6.439475641128e+43       2.146491880263e+43      -1.129672976098e+52       1.152301674433e-05       1.005577855501e+00 
       6.033836407438e+13       2.076381168694e-25       7.683411240578e-09       7.853962202414e+21       1.448072504039e+04       2.399920061230e-10       8.737432595483e+17       4.435515460148e-09       3.647146399602e+43       5.523923135650e+32       2.737519430057e+33       3.592470360975e-08       2.521325827764e+43       6.168472227695e+43       6.168472227695e+43       2.056157409122e+43      -1.070561512311e+52       1.164756829889e-05       9.948248569604e-01 
       5.969326150864e+13       2.121502398307e-25       7.765265763737e-09       7.686920002289e+21       1.448072504039e+04       2.425855896364e-10       8.644017066709e+17       4.483449889124e-09       3.493657330200e+43       5.348634959259e+32       2.650650953261e+33       3.592470360975e-08       2.415216581641e+43       5.908873912159e+43       5.908873912159e+43       1.969624637280e+43      -1.014543125215e+52       1.177211985345e-05       9.842993964787e-01 
       5.905505600295e+13       2.167604144515e-25       7.848939276300e-09       7.523430543558e+21       1.448072504039e+04       2.452072018976e-10       8.551600282237e+17       4.531902343470e-09       3.346627802545e+43       5.178909123985e+32       2.566539034895e+33       3.592470360975e-08       2.313572911521e+43       5.660200714374e+43       5.660200714374e+43       1.886733571355e+43      -9.614559659434e+51       1.189667140802e-05       9.739943274730e-01 
       5.842367381797e+13       2.214707714099e-25       7.934431778267e-09       7.363418264648e+21       1.448072504039e+04       2.478571458123e-10       8.460171564076e+17       4.580878421448e-09       3.205785968747e+43       5.014569122551e+32       2.485096202326e+33       3.592470360975e-08       2.216206884969e+43       5.421992854015e+43       5.421992854015e+43       1.807330951239e+43      -9.111466545618e+51       1.202122296258e-05       9.639027995294e-01 
       5.779904200274e+13       2.262834877325e-25       8.019924280234e-09       7.206809211068e+21       1.448072504039e+04       2.505357275594e-10       8.369720348398e+17       4.630383781834e-09       3.070871421555e+43       4.855444048706e+32       2.406237758651e+33       3.592470360975e-08       2.122938478630e+43       5.193809900474e+43       5.193809900474e+43       1.731269966728e+43      -8.634698369203e+51       1.214577451715e-05       9.540182432336e-01 
       5.718108838624e+13       2.312007878209e-25       8.107235771604e-09       7.053531001233e+21       1.448072504039e+04       2.532432566267e-10       8.280236184316e+17       4.680424144581e-09       2.941634712878e+43       4.701368419490e+32       2.329881694615e+33       3.592470360975e-08       2.033595245378e+43       4.975229958536e+43       4.975229958536e+43       1.658409986085e+43      -8.182877646955e+51       1.227032607172e-05       9.443343559118e-01 
       5.656974156908e+13       2.362249442491e-25       8.194547262974e-09       6.903512793006e+21       1.448072504039e+04       2.559800458468e-10       8.191708732679e+17       4.731005291401e-09       2.817836892574e+43       4.552182003141e+32       2.255948603327e+33       3.592470360975e-08       1.948011995474e+43       4.765848888319e+43       4.765848888319e+43       1.588616296016e+43      -7.754698974067e+51       1.239487762629e-05       9.348450882105e-01 
       5.596493091520e+13       2.413582792240e-25       8.283677743748e-09       6.756685250956e+21       1.448072504039e+04       2.587464114328e-10       8.104127764876e+17       4.782133066574e-09       2.699249066647e+43       4.407729652460e+32       2.184361597679e+33       3.592470360975e-08       1.866030491139e+43       4.565279558048e+43       4.565279558048e+43       1.521759852595e+43      -7.348925252569e+51       1.251942918086e-05       9.255446315261e-01 
       5.536658654378e+13       2.466031650989e-25       8.372808224522e-09       6.612980514317e+21       1.448072504039e+04       2.615426730153e-10       8.017483161656e+17       4.833813377431e-09       2.585651974035e+43       4.267861143462e+32       2.115046230388e+33       3.592470360975e-08       1.787499153984e+43       4.373151128273e+43       4.373151128273e+43       1.457717042673e+43      -6.964384117096e+51       1.264398073544e-05       9.164274061075e-01 
       5.477463932109e+13       2.519620261509e-25       8.463757694699e-09       6.472332165620e+21       1.448072504039e+04       2.643691536791e-10       7.931764911953e+17       4.886052195266e-09       2.476835581215e+43       4.132431019155e+32       2.047930416572e+33       3.592470360975e-08       1.712272784751e+43       4.189108366212e+43       4.189108366212e+43       1.396369455322e+43      -6.599964547673e+51       1.276853229002e-05       9.074880499405e-01 
       5.418902085255e+13       2.574373389300e-25       8.554707164876e-09       6.334675199999e+21       1.448072504039e+04       2.672261800005e-10       7.846963111738e+17       4.938855555774e-09       2.372598693860e+43       4.001298438266e+32       1.982944358787e+33       3.592470360975e-08       1.640212294851e+43       4.012810988949e+43       4.012810988949e+43       1.337603662903e+43      -6.254613659752e+51       1.289308384459e-05       8.987214081802e-01 
       5.360966347481e+13       2.630316342354e-25       8.647475624457e-09       6.199945995145e+21       1.448072504039e+04       2.701140820851e-10       7.763067962867e+17       4.992229560012e-09       2.272748584847e+43       3.874327028778e+32       1.920020474439e+33       3.592470360975e-08       1.571184449194e+43       3.843933034272e+43       3.843933034272e+43       1.281311011347e+43      -5.927333662200e+51       1.301763539918e-05       8.901225232926e-01 
       5.303650024796e+13       2.687474974651e-25       8.740244084038e-09       6.068082281902e+21       1.448072504039e+04       2.730331936061e-10       7.680069771953e+17       5.046180374850e-09       2.177100637917e+43       3.751384746103e+32       1.859093325503e+33       3.592470360975e-08       1.505061619852e+43       3.682162257993e+43       3.682162257993e+43       1.227387419257e+43      -5.617178974480e+51       1.314218695376e-05       8.816866256548e-01 
       5.246946494773e+13       2.745875704554e-25       8.834831533022e-09       5.939023115486e+21       1.448072504039e+04       2.759838518425e-10       7.597958949246e+17       5.100714233878e-09       2.085478006332e+43       3.632343735768e+32       1.800099550469e+33       3.592470360975e-08       1.441721550079e+43       3.527199556627e+43       3.527199556627e+43       1.175733185470e+43      -5.323253494662e+51       1.326673850836e-05       8.734091247727e-01 
       5.190849205793e+13       2.805545523779e-25       8.929418982007e-09       5.812708847320e+21       1.448072504039e+04       2.789663977183e-10       7.516726007523e+17       5.155837438033e-09       1.997711285894e+43       3.517080200445e+32       1.742977798451e+33       3.592470360975e-08       1.381047128267e+43       3.378758414371e+43       3.378758414371e+43       1.126252804720e+43      -5.044708010405e+51       1.339129006295e-05       8.652856009321e-01 
       5.135351676279e+13       2.866512009728e-25       9.025825420395e-09       5.689081097463e+21       1.448072504039e+04       2.819811758419e-10       7.436361560992e+17       5.211556356318e-09       1.913638201732e+43       3.405474271214e+32       1.687668665380e+33       3.592470360975e-08       1.322926171417e+43       3.236564373352e+43       3.236564373352e+43       1.078854791050e+43      -4.780737745396e+51       1.351584161754e-05       8.573117973280e-01 
       5.080447493954e+13       2.928803341304e-25       9.124050848186e-09       5.568082727632e+21       1.448072504039e+04       2.850285345459e-10       7.356856324210e+17       5.267877426634e-09       1.833103308263e+43       3.297409882900e+32       1.634114632234e+33       3.592470360975e-08       1.267251217716e+43       3.100354526176e+43       3.100354526176e+43       1.033451508660e+43      -4.530580034189e+51       1.364039317213e-05       8.494836126445e-01 
       5.026130315096e+13       2.992448306416e-25       9.222276275977e-09       5.449657814788e+21       1.448072504039e+04       2.881088259272e-10       7.278201111008e+17       5.324807156355e-09       1.755957701787e+43       3.192774653373e+32       1.582260005212e+33       3.592470360975e-08       1.213919327851e+43       2.969877029828e+43       2.969877029828e+43       9.899590098794e+42      -4.293512118702e+51       1.376494472672e-05       8.417970939905e-01 
       4.972393863805e+13       3.057476322791e-25       9.322320693173e-09       5.333751625295e+21       1.448072504039e+04       2.912224058878e-10       7.200386833430e+17       5.382352123306e-09       1.682058745171e+43       3.091459766676e+32       1.532050857822e+33       3.592470360975e-08       1.162831894678e+43       2.844890640033e+43       2.844890640033e+43       9.482968799498e+42      -4.068849060016e+51       1.388949628131e-05       8.342484302840e-01 
       4.919231931283e+13       3.123917442511e-25       9.422365110368e-09       5.220310589618e+21       1.448072504039e+04       2.943696341761e-10       7.123404500683e+17       5.440518976255e-09       1.611269804123e+43       2.993359859856e+32       1.483434974796e+33       3.592470360975e-08       1.113894460907e+43       2.725164265208e+43       2.725164265208e+43       9.083880883432e+42      -3.855941759447e+51       1.401404783590e-05       8.268339459044e-01 
       4.866638375110e+13       3.191802376118e-25       9.524228516966e-09       5.109282277570e+21       1.448072504039e+04       2.975508744280e-10       7.047245218099e+17       5.499314435976e-09       1.543459994564e+43       2.898372913400e+32       1.436361797791e+33       3.592470360975e-08       1.067016544452e+43       2.610476539189e+43       2.610476539189e+43       8.701588463388e+42      -3.654175083160e+51       1.413859939050e-05       8.195500947759e-01 
