#           k/h    P           
   0.139770E-01   0.238433E+05
   0.142594E-01   0.238871E+05
   0.145474E-01   0.239213E+05
   0.148413E-01   0.239456E+05
   0.151411E-01   0.239598E+05
   0.154470E-01   0.239635E+05
   0.157590E-01   0.239564E+05
   0.160774E-01   0.239383E+05
   0.164022E-01   0.239088E+05
   0.167335E-01   0.238678E+05
   0.170716E-01   0.238149E+05
   0.174164E-01   0.237499E+05
   0.177683E-01   0.236726E+05
   0.181272E-01   0.235827E+05
   0.184934E-01   0.234801E+05
   0.188670E-01   0.233646E+05
   0.192481E-01   0.232360E+05
   0.196370E-01   0.230943E+05
   0.200337E-01   0.229392E+05
   0.204384E-01   0.227707E+05
   0.208513E-01   0.225888E+05
   0.212725E-01   0.223934E+05
   0.217022E-01   0.221845E+05
   0.221406E-01   0.219623E+05
   0.225879E-01   0.217267E+05
   0.230442E-01   0.214780E+05
   0.235097E-01   0.212162E+05
   0.239847E-01   0.209417E+05
   0.244692E-01   0.206546E+05
   0.249635E-01   0.203552E+05
   0.254678E-01   0.200440E+05
   0.259823E-01   0.197214E+05
   0.265072E-01   0.193876E+05
   0.270426E-01   0.190434E+05
   0.275889E-01   0.186893E+05
   0.281463E-01   0.183257E+05
   0.287149E-01   0.179535E+05
   0.292949E-01   0.175732E+05
   0.298867E-01   0.171857E+05
   0.304905E-01   0.167917E+05
   0.311064E-01   0.163920E+05
   0.317348E-01   0.159875E+05
   0.323759E-01   0.155791E+05
   0.330299E-01   0.151677E+05
   0.336972E-01   0.147543E+05
   0.343779E-01   0.143397E+05
   0.350724E-01   0.139250E+05
   0.357809E-01   0.135110E+05
   0.365038E-01   0.130989E+05
   0.372412E-01   0.126894E+05
   0.379935E-01   0.122835E+05
   0.387610E-01   0.118821E+05
   0.395440E-01   0.114861E+05
   0.403429E-01   0.110962E+05
   0.411579E-01   0.107131E+05
   0.419893E-01   0.103376E+05
   0.428375E-01   0.997023E+04
   0.437029E-01   0.961156E+04
   0.445858E-01   0.926200E+04
   0.454865E-01   0.892191E+04
   0.464053E-01   0.859156E+04
   0.473428E-01   0.827110E+04
   0.482992E-01   0.796058E+04
   0.492749E-01   0.765997E+04
   0.502703E-01   0.736911E+04
   0.512858E-01   0.708774E+04
   0.523219E-01   0.681553E+04
   0.533789E-01   0.655203E+04
   0.544572E-01   0.629670E+04
   0.555573E-01   0.604894E+04
   0.566796E-01   0.580806E+04
   0.578246E-01   0.557333E+04
   0.589927E-01   0.534397E+04
   0.601845E-01   0.511919E+04
   0.614003E-01   0.489818E+04
   0.626407E-01   0.468019E+04
   0.639061E-01   0.446446E+04
   0.651971E-01   0.425034E+04
   0.665142E-01   0.403728E+04
   0.678578E-01   0.382486E+04
   0.692287E-01   0.361279E+04
   0.706272E-01   0.340100E+04
   0.720539E-01   0.318957E+04
   0.735095E-01   0.297883E+04
   0.749945E-01   0.276931E+04
   0.765095E-01   0.256175E+04
   0.780551E-01   0.235709E+04
   0.796319E-01   0.215643E+04
   0.812406E-01   0.196103E+04
   0.828817E-01   0.177218E+04
   0.845561E-01   0.159123E+04
   0.862642E-01   0.141948E+04
   0.880068E-01   0.125810E+04
   0.897847E-01   0.110812E+04
   0.915985E-01   0.970317E+03
   0.934489E-01   0.845214E+03
   0.953367E-01   0.733034E+03
   0.972626E-01   0.633696E+03
   0.992274E-01   0.546831E+03
   0.101232E+00   0.471808E+03
   0.103277E+00   0.407779E+03
   0.105363E+00   0.353733E+03
   0.107492E+00   0.308553E+03
   0.109663E+00   0.271065E+03
   0.111879E+00   0.240092E+03
   0.114139E+00   0.214484E+03
   0.116445E+00   0.193148E+03
   0.118797E+00   0.175068E+03
   0.121197E+00   0.159317E+03
   0.123645E+00   0.145082E+03
   0.126143E+00   0.131679E+03
   0.128691E+00   0.118583E+03
   0.131291E+00   0.105454E+03
   0.133943E+00   0.921520E+02
   0.136649E+00   0.787422E+02
   0.139409E+00   0.654727E+02
   0.142226E+00   0.527247E+02
   0.145099E+00   0.409387E+02
   0.148030E+00   0.305289E+02
   0.151020E+00   0.218017E+02
   0.154071E+00   0.148980E+02
   0.157184E+00   0.977400E+01
   0.160359E+00   0.622394E+01
   0.163598E+00   0.393904E+01
   0.166903E+00   0.258172E+01
   0.170275E+00   0.185252E+01
   0.173715E+00   0.152879E+01
   0.177224E+00   0.146693E+01
   0.180804E+00   0.157514E+01
   0.184457E+00   0.177595E+01
   0.188183E+00   0.198115E+01
   0.191985E+00   0.209345E+01
   0.195863E+00   0.203307E+01
   0.199820E+00   0.177199E+01
   0.203856E+00   0.135233E+01
   0.207974E+00   0.873388E+00
   0.212176E+00   0.449941E+00
   0.216462E+00   0.162565E+00
   0.220835E+00   0.277664E-01
   0.225296E+00   0.193315E-03
   0.229847E+00   0.146706E-01
   0.234490E+00   0.211852E-01
   0.239227E+00   0.974930E-02
   0.244060E+00   0.851473E-05
   0.248990E+00   0.119114E-01
   0.254020E+00   0.441156E-01
   0.259152E+00   0.738929E-01
   0.264387E+00   0.787862E-01
   0.269728E+00   0.560303E-01
   0.275177E+00   0.236207E-01
   0.280736E+00   0.293224E-02
   0.286407E+00   0.111844E-02
   0.292193E+00   0.820871E-02
   0.298096E+00   0.110884E-01
   0.304118E+00   0.644080E-02
   0.310261E+00   0.850632E-03
   0.316529E+00   0.659793E-03
   0.322923E+00   0.443172E-02
   0.329447E+00   0.640810E-02
   0.336102E+00   0.424297E-02
   0.342892E+00   0.977163E-03
   0.349819E+00   0.475868E-04
   0.356885E+00   0.103577E-02
   0.364095E+00   0.148683E-02
   0.371450E+00   0.692161E-03
   0.378954E+00   0.225071E-04
   0.386609E+00   0.243165E-03
   0.394419E+00   0.597270E-03
   0.402387E+00   0.401718E-03
   0.410516E+00   0.514855E-04
   0.418809E+00   0.357666E-04
   0.427269E+00   0.153529E-03
   0.435901E+00   0.102840E-03
   0.444706E+00   0.599706E-05
   0.453690E+00   0.232097E-04
   0.462855E+00   0.549712E-04
   0.472206E+00   0.230176E-04
   0.481745E+00   0.477123E-07
   0.491477E+00   0.117737E-04
   0.501405E+00   0.114249E-04
   0.511534E+00   0.808779E-06
   0.521868E+00   0.232561E-05
   0.532411E+00   0.424913E-05
   0.543166E+00   0.682232E-06
   0.554139E+00   0.463327E-06
   0.565333E+00   0.130982E-05
   0.576753E+00   0.234635E-06
   0.588404E+00   0.832285E-07
   0.600291E+00   0.271509E-06
   0.612418E+00   0.757989E-08
   0.624789E+00   0.107485E-06
   0.637411E+00   0.116710E-06
   0.650288E+00   0.260043E-08
   0.663424E+00   0.245948E-07
   0.676826E+00   0.448909E-07
   0.690499E+00   0.517841E-08
   0.704448E+00   0.960858E-09
   0.718679E+00   0.332071E-09
   0.733197E+00   0.164426E-09
   0.748009E+00   0.123895E-09
   0.763119E+00   0.162332E-09
   0.778536E+00   0.293179E-09
   0.794263E+00   0.462028E-09
   0.810308E+00   0.616507E-09
   0.826677E+00   0.115515E-08
   0.843378E+00   0.381239E-08
   0.860415E+00   0.129296E-07
   0.877797E+00   0.263776E-07
   0.895529E+00   0.346900E-07
   0.913620E+00   0.378322E-07
   0.932076E+00   0.392037E-07
   0.950906E+00   0.410136E-07
   0.970115E+00   0.437739E-07
   0.989713E+00   0.453585E-07
   0.100971E+01   0.444019E-07
   0.103010E+01   0.425396E-07
   0.105091E+01   0.414315E-07
   0.107214E+01   0.412141E-07
   0.109380E+01   0.415793E-07
   0.111590E+01   0.416386E-07
   0.113844E+01   0.401795E-07
   0.116144E+01   0.373398E-07
   0.118490E+01   0.346090E-07
   0.120884E+01   0.326477E-07
   0.123326E+01   0.307294E-07
   0.125817E+01   0.282795E-07
   0.128359E+01   0.256047E-07
   0.130952E+01   0.231029E-07
   0.133597E+01   0.206620E-07
   0.136296E+01   0.180262E-07
   0.139049E+01   0.154855E-07
   0.141858E+01   0.136290E-07
   0.144724E+01   0.121938E-07
   0.147648E+01   0.980425E-08
   0.150630E+01   0.655768E-08
   0.153673E+01   0.458570E-08
   0.156778E+01   0.441457E-08
   0.159945E+01   0.463570E-08
   0.163176E+01   0.314183E-08
   0.166472E+01   0.153796E-08
   0.169835E+01   0.129567E-08
   0.173266E+01   0.229457E-08
   0.176766E+01   0.200999E-08
   0.180337E+01   0.292836E-09
   0.183980E+01   0.406413E-10
   0.187697E+01   0.543567E-10
   0.191489E+01   0.342552E-09
   0.195357E+01   0.831662E-09
   0.199304E+01   0.284885E-09
   0.203330E+01   0.299139E-10
   0.207437E+01   0.285135E-11
   0.211628E+01   0.117714E-11
   0.215903E+01   0.577220E-11
   0.220265E+01   0.487735E-10
   0.224714E+01   0.568918E-10
   0.229254E+01   0.134330E-10
   0.233885E+01   0.510841E-11
   0.238610E+01   0.588982E-11
   0.243430E+01   0.718870E-11
   0.248348E+01   0.491421E-11
   0.253365E+01   0.312737E-11
   0.258483E+01   0.280350E-11
   0.263705E+01   0.166455E-11
   0.269032E+01   0.272114E-12
   0.274466E+01   0.483533E-13
   0.280011E+01   0.124442E-12
   0.285668E+01   0.230018E-11
   0.291439E+01   0.357325E-11
   0.297326E+01   0.821569E-13
   0.303332E+01   0.316308E-14
   0.309460E+01   0.131353E-13
   0.315712E+01   0.521012E-12
   0.322090E+01   0.349948E-11
   0.328596E+01   0.128403E-11
   0.335234E+01   0.467623E-13
   0.342006E+01   0.929920E-15
   0.348916E+01   0.186171E-15
   0.355964E+01   0.102519E-14
   0.363155E+01   0.565774E-14
   0.370491E+01   0.187027E-14
   0.377976E+01   0.277630E-15
   0.385611E+01   0.380079E-15
   0.393401E+01   0.269198E-14
   0.401348E+01   0.748030E-14
   0.409456E+01   0.407067E-14
   0.417727E+01   0.179053E-14
   0.426166E+01   0.199040E-14
   0.434775E+01   0.758024E-14
   0.443558E+01   0.959573E-13
   0.452519E+01   0.142952E-11
   0.461660E+01   0.727568E-11
   0.470987E+01   0.827543E-11
   0.480501E+01   0.222767E-11
   0.490208E+01   0.267736E-12
   0.500111E+01   0.505161E-13
   0.510214E+01   0.334950E-13
   0.520521E+01   0.624838E-13
   0.531036E+01   0.219240E-12
   0.541763E+01   0.781129E-12
   0.552708E+01   0.146437E-11
   0.563873E+01   0.888381E-12
   0.575264E+01   0.124688E-12
   0.586885E+01   0.123146E-13
   0.598741E+01   0.122400E-13
   0.610836E+01   0.212215E-12
   0.623176E+01   0.112875E-11
   0.635765E+01   0.741488E-13
   0.648609E+01   0.107554E-14
   0.661711E+01   0.209161E-15
   0.675079E+01   0.568588E-15
   0.688716E+01   0.250760E-14
   0.702629E+01   0.709313E-14
   0.716823E+01   0.192143E-13
   0.731304E+01   0.589646E-13
   0.746077E+01   0.131025E-12
   0.761149E+01   0.144569E-12
   0.776525E+01   0.101583E-12
   0.792212E+01   0.671697E-13
   0.808217E+01   0.487095E-13
   0.824543E+01   0.394907E-13
   0.841200E+01   0.324736E-13
   0.858193E+01   0.217969E-13
   0.875530E+01   0.117384E-13
   0.893217E+01   0.758695E-14
   0.911261E+01   0.811791E-14
   0.929670E+01   0.113683E-13
   0.948451E+01   0.143079E-13
   0.967610E+01   0.116767E-13
   0.987158E+01   0.471739E-14
   0.100710E+02   0.150583E-14
   0.102744E+02   0.129441E-14
   0.104820E+02   0.427626E-14
