#    L    TT             EE             TE          
   352   0.264958E+04   0.200326E+02   0.934452E+02
   353   0.262362E+04   0.201984E+02   0.918822E+02
   354   0.259804E+04   0.203619E+02   0.902923E+02
   355   0.257285E+04   0.205227E+02   0.886747E+02
   356   0.254805E+04   0.206810E+02   0.870303E+02
   357   0.252364E+04   0.208367E+02   0.853597E+02
   358   0.249963E+04   0.209897E+02   0.836638E+02
   359   0.247602E+04   0.211398E+02   0.819425E+02
   360   0.245281E+04   0.212870E+02   0.801974E+02
   361   0.243002E+04   0.214313E+02   0.784275E+02
   362   0.240763E+04   0.215725E+02   0.766347E+02
   363   0.238567E+04   0.217105E+02   0.748195E+02
   364   0.236412E+04   0.218455E+02   0.729827E+02
   365   0.234300E+04   0.219772E+02   0.711250E+02
   366   0.232231E+04   0.221056E+02   0.692474E+02
   367   0.230206E+04   0.222308E+02   0.673506E+02
   368   0.228224E+04   0.223524E+02   0.654353E+02
   369   0.226286E+04   0.224708E+02   0.635026E+02
   370   0.224393E+04   0.225855E+02   0.615529E+02
   371   0.222543E+04   0.226968E+02   0.595872E+02
   372   0.220739E+04   0.228044E+02   0.576062E+02
   373   0.218979E+04   0.229085E+02   0.556109E+02
   374   0.217265E+04   0.230088E+02   0.536019E+02
   375   0.215595E+04   0.231055E+02   0.515799E+02
   376   0.213971E+04   0.231983E+02   0.495458E+02
   377   0.212393E+04   0.232873E+02   0.475004E+02
   378   0.210860E+04   0.233724E+02   0.454444E+02
   379   0.209373E+04   0.234535E+02   0.433786E+02
   380   0.207932E+04   0.235306E+02   0.413038E+02
   381   0.206537E+04   0.236038E+02   0.392207E+02
   382   0.205189E+04   0.236726E+02   0.371302E+02
   383   0.203887E+04   0.237375E+02   0.350330E+02
   384   0.202631E+04   0.237982E+02   0.329301E+02
   385   0.201420E+04   0.238547E+02   0.308222E+02
   386   0.200257E+04   0.239071E+02   0.287104E+02
   387   0.199140E+04   0.239553E+02   0.265954E+02
   388   0.198068E+04   0.239994E+02   0.244782E+02
   389   0.197043E+04   0.240393E+02   0.223595E+02
   390   0.196063E+04   0.240749E+02   0.202402E+02
   391   0.195130E+04   0.241064E+02   0.181212E+02
   392   0.194241E+04   0.241335E+02   0.160033E+02
   393   0.193399E+04   0.241564E+02   0.138872E+02
   394   0.192602E+04   0.241749E+02   0.117738E+02
   395   0.191849E+04   0.241891E+02   0.966392E+01
   396   0.191141E+04   0.241990E+02   0.755833E+01
   397   0.190478E+04   0.242045E+02   0.545788E+01
   398   0.189860E+04   0.242056E+02   0.336332E+01
   399   0.189285E+04   0.242023E+02   0.127548E+01
   400   0.188756E+04   0.241947E+02  -0.804847E+00
   401   0.188270E+04   0.241827E+02  -0.287688E+01
   402   0.187829E+04   0.241663E+02  -0.493976E+01
   403   0.187431E+04   0.241456E+02  -0.699267E+01
   404   0.187077E+04   0.241205E+02  -0.903474E+01
   405   0.186764E+04   0.240910E+02  -0.110651E+02
   406   0.186495E+04   0.240572E+02  -0.130831E+02
   407   0.186267E+04   0.240192E+02  -0.150877E+02
   408   0.186081E+04   0.239767E+02  -0.170781E+02
   409   0.185935E+04   0.239301E+02  -0.190535E+02
   410   0.185830E+04   0.238792E+02  -0.210129E+02
   411   0.185764E+04   0.238241E+02  -0.229559E+02
   412   0.185738E+04   0.237648E+02  -0.248815E+02
   413   0.185752E+04   0.237013E+02  -0.267891E+02
   414   0.185803E+04   0.236336E+02  -0.286780E+02
   415   0.185892E+04   0.235619E+02  -0.305474E+02
   416   0.186020E+04   0.234861E+02  -0.323967E+02
   417   0.186184E+04   0.234063E+02  -0.342250E+02
   418   0.186384E+04   0.233225E+02  -0.360318E+02
   419   0.186621E+04   0.232347E+02  -0.378161E+02
   420   0.186894E+04   0.231430E+02  -0.395774E+02
   421   0.187202E+04   0.230473E+02  -0.413149E+02
   422   0.187543E+04   0.229478E+02  -0.430278E+02
   423   0.187920E+04   0.228443E+02  -0.447154E+02
   424   0.188330E+04   0.227370E+02  -0.463771E+02
   425   0.188773E+04   0.226260E+02  -0.480121E+02
   426   0.189249E+04   0.225112E+02  -0.496203E+02
   427   0.189755E+04   0.223928E+02  -0.512008E+02
   428   0.190292E+04   0.222710E+02  -0.527533E+02
   429   0.190859E+04   0.221456E+02  -0.542773E+02
   430   0.191455E+04   0.220168E+02  -0.557721E+02
   431   0.192080E+04   0.218848E+02  -0.572373E+02
   432   0.192732E+04   0.217495E+02  -0.586726E+02
   433   0.193413E+04   0.216110E+02  -0.600770E+02
   434   0.194120E+04   0.214694E+02  -0.614504E+02
   435   0.194853E+04   0.213246E+02  -0.627921E+02
   436   0.195612E+04   0.211768E+02  -0.641016E+02
   437   0.196397E+04   0.210261E+02  -0.653783E+02
   438   0.197206E+04   0.208724E+02  -0.666219E+02
   439   0.198040E+04   0.207159E+02  -0.678317E+02
   440   0.198897E+04   0.205565E+02  -0.690074E+02
   441   0.199777E+04   0.203945E+02  -0.701487E+02
   442   0.200677E+04   0.202299E+02  -0.712552E+02
   443   0.201598E+04   0.200627E+02  -0.723263E+02
   444   0.202538E+04   0.198931E+02  -0.733618E+02
   445   0.203498E+04   0.197210E+02  -0.743613E+02
   446   0.204475E+04   0.195467E+02  -0.753244E+02
   447   0.205469E+04   0.193702E+02  -0.762510E+02
   448   0.206481E+04   0.191916E+02  -0.771409E+02
   449   0.207510E+04   0.190109E+02  -0.779939E+02
   450   0.208554E+04   0.188283E+02  -0.788097E+02
   451   0.209614E+04   0.186438E+02  -0.795883E+02
   452   0.210690E+04   0.184576E+02  -0.803292E+02
   453   0.211779E+04   0.182697E+02  -0.810324E+02
   454   0.212882E+04   0.180802E+02  -0.816975E+02
   455   0.213996E+04   0.178893E+02  -0.823243E+02
   456   0.215121E+04   0.176970E+02  -0.829126E+02
   457   0.216257E+04   0.175033E+02  -0.834622E+02
   458   0.217401E+04   0.173085E+02  -0.839727E+02
   459   0.218553E+04   0.171126E+02  -0.844441E+02
   460   0.219713E+04   0.169157E+02  -0.848766E+02
   461   0.220879E+04   0.167179E+02  -0.852692E+02
   462   0.222052E+04   0.165194E+02  -0.856241E+02
   463   0.223230E+04   0.163203E+02  -0.859399E+02
   464   0.224415E+04   0.161207E+02  -0.862172E+02
   465   0.225604E+04   0.159207E+02  -0.864559E+02
   466   0.226799E+04   0.157204E+02  -0.866568E+02
   467   0.227997E+04   0.155199E+02  -0.868191E+02
   468   0.229197E+04   0.153194E+02  -0.869434E+02
   469   0.230400E+04   0.151190E+02  -0.870297E+02
   470   0.231603E+04   0.149186E+02  -0.870780E+02
