#    L    TT             EE             TE             PP             TP          
   591   0.232051E+04   0.170315E+02   0.323293E+02   0.682841E+06   0.128555E+03
   592   0.231143E+04   0.173244E+02   0.324842E+02   0.681108E+06   0.128620E+03
   593   0.230229E+04   0.176195E+02   0.326058E+02   0.679383E+06   0.128691E+03
   594   0.229310E+04   0.179168E+02   0.326938E+02   0.677663E+06   0.128770E+03
   595   0.228387E+04   0.182159E+02   0.327482E+02   0.675951E+06   0.128854E+03
   596   0.227460E+04   0.185170E+02   0.327686E+02   0.674246E+06   0.128946E+03
   597   0.226530E+04   0.188198E+02   0.327550E+02   0.672547E+06   0.129044E+03
   598   0.225597E+04   0.191241E+02   0.327073E+02   0.670855E+06   0.129148E+03
   599   0.224661E+04   0.194301E+02   0.326253E+02   0.669169E+06   0.129258E+03
   600   0.223723E+04   0.197374E+02   0.325090E+02   0.667490E+06   0.129374E+03
   601   0.222784E+04   0.200460E+02   0.323584E+02   0.665818E+06   0.129497E+03
   602   0.221843E+04   0.203557E+02   0.321735E+02   0.664152E+06   0.129626E+03
   603   0.220903E+04   0.206665E+02   0.319543E+02   0.662493E+06   0.129760E+03
   604   0.219962E+04   0.209782E+02   0.317007E+02   0.660840E+06   0.129900E+03
   605   0.219020E+04   0.212907E+02   0.314129E+02   0.659193E+06   0.130046E+03
   606   0.218081E+04   0.216038E+02   0.310907E+02   0.657554E+06   0.130196E+03
   607   0.217142E+04   0.219176E+02   0.307343E+02   0.655920E+06   0.130352E+03
   608   0.216205E+04   0.222317E+02   0.303437E+02   0.654293E+06   0.130513E+03
   609   0.215271E+04   0.225462E+02   0.299191E+02   0.652672E+06   0.130679E+03
   610   0.214338E+04   0.228608E+02   0.294604E+02   0.651058E+06   0.130849E+03
   611   0.213410E+04   0.231754E+02   0.289678E+02   0.649450E+06   0.131024E+03
   612   0.212484E+04   0.234900E+02   0.284413E+02   0.647848E+06   0.131204E+03
   613   0.211563E+04   0.238043E+02   0.278810E+02   0.646252E+06   0.131387E+03
   614   0.210647E+04   0.241183E+02   0.272873E+02   0.644663E+06   0.131575E+03
   615   0.209735E+04   0.244317E+02   0.266602E+02   0.643079E+06   0.131766E+03
   616   0.208830E+04   0.247446E+02   0.260003E+02   0.641502E+06   0.131961E+03
   617   0.207930E+04   0.250569E+02   0.253075E+02   0.639931E+06   0.132160E+03
   618   0.207037E+04   0.253684E+02   0.245824E+02   0.638366E+06   0.132362E+03
   619   0.206151E+04   0.256789E+02   0.238250E+02   0.636807E+06   0.132567E+03
   620   0.205272E+04   0.259885E+02   0.230358E+02   0.635255E+06   0.132775E+03
   621   0.204402E+04   0.262969E+02   0.222149E+02   0.633708E+06   0.132987E+03
   622   0.203540E+04   0.266040E+02   0.213627E+02   0.632167E+06   0.133201E+03
   623   0.202686E+04   0.269098E+02   0.204795E+02   0.630632E+06   0.133417E+03
   624   0.201842E+04   0.272140E+02   0.195655E+02   0.629103E+06   0.133636E+03
   625   0.201007E+04   0.275165E+02   0.186210E+02   0.627580E+06   0.133858E+03
   626   0.200183E+04   0.278173E+02   0.176464E+02   0.626063E+06   0.134081E+03
   627   0.199368E+04   0.281161E+02   0.166419E+02   0.624551E+06   0.134307E+03
   628   0.198566E+04   0.284129E+02   0.156079E+02   0.623046E+06   0.134534E+03
   629   0.197773E+04   0.287075E+02   0.145448E+02   0.621546E+06   0.134763E+03
   630   0.196992E+04   0.289999E+02   0.134531E+02   0.620052E+06   0.134993E+03
   631   0.196224E+04   0.292898E+02   0.123332E+02   0.618563E+06   0.135225E+03
   632   0.195467E+04   0.295773E+02   0.111855E+02   0.617081E+06   0.135458E+03
   633   0.194723E+04   0.298621E+02   0.100103E+02   0.615604E+06   0.135691E+03
   634   0.193992E+04   0.301441E+02   0.880821E+01   0.614132E+06   0.135926E+03
   635   0.193275E+04   0.304233E+02   0.757966E+01   0.612666E+06   0.136161E+03
   636   0.192571E+04   0.306995E+02   0.632512E+01   0.611206E+06   0.136397E+03
   637   0.191881E+04   0.309726E+02   0.504511E+01   0.609751E+06   0.136633E+03
   638   0.191206E+04   0.312425E+02   0.374014E+01   0.608302E+06   0.136870E+03
   639   0.190545E+04   0.315091E+02   0.241069E+01   0.606858E+06   0.137106E+03
   640   0.189899E+04   0.317723E+02   0.105728E+01   0.605420E+06   0.137343E+03
   641   0.189269E+04   0.320319E+02  -0.319581E+00   0.603987E+06   0.137579E+03
   642   0.188654E+04   0.322879E+02  -0.171931E+01   0.602560E+06   0.137814E+03
   643   0.188055E+04   0.325402E+02  -0.314133E+01   0.601138E+06   0.138049E+03
   644   0.187472E+04   0.327886E+02  -0.458502E+01   0.599721E+06   0.138283E+03
   645   0.186905E+04   0.330329E+02  -0.604982E+01   0.598310E+06   0.138517E+03
   646   0.186356E+04   0.332732E+02  -0.753512E+01   0.596903E+06   0.138749E+03
   647   0.185822E+04   0.335092E+02  -0.904028E+01   0.595503E+06   0.138980E+03
   648   0.185306E+04   0.337409E+02  -0.105648E+02   0.594107E+06   0.139210E+03
   649   0.184807E+04   0.339682E+02  -0.121079E+02   0.592716E+06   0.139438E+03
   650   0.184327E+04   0.341910E+02  -0.136691E+02   0.591331E+06   0.139664E+03
   651   0.183863E+04   0.344093E+02  -0.152476E+02   0.589951E+06   0.139889E+03
   652   0.183417E+04   0.346230E+02  -0.168427E+02   0.588576E+06   0.140111E+03
   653   0.182990E+04   0.348320E+02  -0.184539E+02   0.587206E+06   0.140332E+03
   654   0.182581E+04   0.350362E+02  -0.200804E+02   0.585841E+06   0.140551E+03
   655   0.182192E+04   0.352356E+02  -0.217217E+02   0.584481E+06   0.140767E+03
   656   0.181821E+04   0.354301E+02  -0.233768E+02   0.583126E+06   0.140982E+03
   657   0.181468E+04   0.356197E+02  -0.250454E+02   0.581777E+06   0.141195E+03
   658   0.181135E+04   0.358043E+02  -0.267264E+02   0.580432E+06   0.141405E+03
   659   0.180822E+04   0.359836E+02  -0.284193E+02   0.579092E+06   0.141614E+03
   660   0.180527E+04   0.361578E+02  -0.301233E+02   0.577757E+06   0.141820E+03
   661   0.180252E+04   0.363266E+02  -0.318378E+02   0.576427E+06   0.142024E+03
   662   0.179997E+04   0.364899E+02  -0.335619E+02   0.575102E+06   0.142226E+03
   663   0.179761E+04   0.366479E+02  -0.352950E+02   0.573782E+06   0.142426E+03
   664   0.179546E+04   0.368003E+02  -0.370363E+02   0.572466E+06   0.142623E+03
   665   0.179350E+04   0.369472E+02  -0.387851E+02   0.571156E+06   0.142818E+03
   666   0.179174E+04   0.370883E+02  -0.405406E+02   0.569850E+06   0.143011E+03
   667   0.179017E+04   0.372239E+02  -0.423021E+02   0.568549E+06   0.143202E+03
   668   0.178882E+04   0.373537E+02  -0.440688E+02   0.567253E+06   0.143390E+03
   669   0.178766E+04   0.374775E+02  -0.458400E+02   0.565962E+06   0.143576E+03
   670   0.178670E+04   0.375956E+02  -0.476149E+02   0.564675E+06   0.143759E+03
   671   0.178595E+04   0.377079E+02  -0.493928E+02   0.563393E+06   0.143940E+03
   672   0.178540E+04   0.378141E+02  -0.511730E+02   0.562115E+06   0.144118E+03
   673   0.178505E+04   0.379143E+02  -0.529547E+02   0.560843E+06   0.144294E+03
   674   0.178489E+04   0.380086E+02  -0.547371E+02   0.559575E+06   0.144467E+03
   675   0.178495E+04   0.380967E+02  -0.565195E+02   0.558311E+06   0.144638E+03
   676   0.178521E+04   0.381788E+02  -0.583010E+02   0.557053E+06   0.144806E+03
   677   0.178567E+04   0.382548E+02  -0.600811E+02   0.555798E+06   0.144972E+03
   678   0.178632E+04   0.383245E+02  -0.618587E+02   0.554549E+06   0.145134E+03
   679   0.178718E+04   0.383880E+02  -0.636331E+02   0.553304E+06   0.145295E+03
   680   0.178824E+04   0.384452E+02  -0.654036E+02   0.552063E+06   0.145452E+03
   681   0.178949E+04   0.384960E+02  -0.671691E+02   0.550827E+06   0.145607E+03
   682   0.179094E+04   0.385405E+02  -0.689292E+02   0.549595E+06   0.145758E+03
   683   0.179259E+04   0.385786E+02  -0.706827E+02   0.548368E+06   0.145908E+03
   684   0.179443E+04   0.386102E+02  -0.724292E+02   0.547145E+06   0.146054E+03
   685   0.179647E+04   0.386356E+02  -0.741678E+02   0.545926E+06   0.146197E+03
   686   0.179870E+04   0.386545E+02  -0.758976E+02   0.544712E+06   0.146337E+03
   687   0.180112E+04   0.386672E+02  -0.776186E+02   0.543503E+06   0.146475E+03
   688   0.180373E+04   0.386734E+02  -0.793301E+02   0.542297E+06   0.146609E+03
   689   0.180654E+04   0.386735E+02  -0.810306E+02   0.541096E+06   0.146741E+03
   690   0.180953E+04   0.386673E+02  -0.827193E+02   0.539899E+06   0.146870E+03
   691   0.181272E+04   0.386548E+02  -0.843963E+02   0.538707E+06   0.146995E+03
   692   0.181608E+04   0.386361E+02  -0.860609E+02   0.537519E+06   0.147117E+03
   693   0.181963E+04   0.386111E+02  -0.877122E+02   0.536334E+06   0.147237E+03
   694   0.182337E+04   0.385800E+02  -0.893488E+02   0.535155E+06   0.147353E+03
   695   0.182728E+04   0.385426E+02  -0.909707E+02   0.533979E+06   0.147466E+03
   696   0.183136E+04   0.384988E+02  -0.925763E+02   0.532807E+06   0.147576E+03
   697   0.183563E+04   0.384490E+02  -0.941658E+02   0.531640E+06   0.147682E+03
   698   0.184006E+04   0.383929E+02  -0.957376E+02   0.530477E+06   0.147786E+03
   699   0.184467E+04   0.383306E+02  -0.972918E+02   0.529318E+06   0.147886E+03
   700   0.184945E+04   0.382622E+02  -0.988275E+02   0.528163E+06   0.147982E+03
   701   0.185439E+04   0.381877E+02  -0.100344E+03   0.527011E+06   0.148076E+03
   702   0.185948E+04   0.381071E+02  -0.101841E+03   0.525864E+06   0.148166E+03
   703   0.186474E+04   0.380205E+02  -0.103317E+03   0.524721E+06   0.148253E+03
   704   0.187016E+04   0.379279E+02  -0.104772E+03   0.523582E+06   0.148336E+03
   705   0.187573E+04   0.378294E+02  -0.106205E+03   0.522447E+06   0.148416E+03
   706   0.188146E+04   0.377250E+02  -0.107615E+03   0.521316E+06   0.148493E+03
   707   0.188733E+04   0.376149E+02  -0.109003E+03   0.520189E+06   0.148567E+03
   708   0.189334E+04   0.374989E+02  -0.110367E+03   0.519066E+06   0.148638E+03
   709   0.189950E+04   0.373773E+02  -0.111706E+03   0.517947E+06   0.148705E+03
   710   0.190580E+04   0.372500E+02  -0.113021E+03   0.516831E+06   0.148769E+03
   711   0.191223E+04   0.371171E+02  -0.114311E+03   0.515720E+06   0.148830E+03
   712   0.191880E+04   0.369787E+02  -0.115574E+03   0.514612E+06   0.148888E+03
   713   0.192549E+04   0.368348E+02  -0.116811E+03   0.513508E+06   0.148943E+03
   714   0.193231E+04   0.366856E+02  -0.118020E+03   0.512408E+06   0.148995E+03
   715   0.193925E+04   0.365309E+02  -0.119202E+03   0.511312E+06   0.149043E+03
   716   0.194631E+04   0.363709E+02  -0.120356E+03   0.510219E+06   0.149089E+03
   717   0.195348E+04   0.362056E+02  -0.121480E+03   0.509130E+06   0.149131E+03
   718   0.196077E+04   0.360351E+02  -0.122574E+03   0.508045E+06   0.149171E+03
   719   0.196815E+04   0.358595E+02  -0.123638E+03   0.506964E+06   0.149207E+03
   720   0.197564E+04   0.356788E+02  -0.124673E+03   0.505886E+06   0.149241E+03
   721   0.198323E+04   0.354933E+02  -0.125676E+03   0.504812E+06   0.149271E+03
   722   0.199092E+04   0.353029E+02  -0.126649E+03   0.503742E+06   0.149299E+03
   723   0.199871E+04   0.351079E+02  -0.127590E+03   0.502675E+06   0.149323E+03
   724   0.200658E+04   0.349083E+02  -0.128499E+03   0.501612E+06   0.149345E+03
   725   0.201454E+04   0.347043E+02  -0.129376E+03   0.500553E+06   0.149364E+03
   726   0.202259E+04   0.344958E+02  -0.130221E+03   0.499497E+06   0.149380E+03
   727   0.203072E+04   0.342831E+02  -0.131033E+03   0.498444E+06   0.149393E+03
   728   0.203893E+04   0.340662E+02  -0.131812E+03   0.497396E+06   0.149403E+03
   729   0.204721E+04   0.338452E+02  -0.132556E+03   0.496350E+06   0.149410E+03
   730   0.205555E+04   0.336200E+02  -0.133267E+03   0.495309E+06   0.149415E+03
   731   0.206397E+04   0.333910E+02  -0.133943E+03   0.494270E+06   0.149417E+03
   732   0.207244E+04   0.331581E+02  -0.134585E+03   0.493236E+06   0.149416E+03
   733   0.208097E+04   0.329216E+02  -0.135191E+03   0.492204E+06   0.149412E+03
   734   0.208955E+04   0.326813E+02  -0.135761E+03   0.491176E+06   0.149406E+03
   735   0.209817E+04   0.324375E+02  -0.136296E+03   0.490152E+06   0.149397E+03
   736   0.210684E+04   0.321904E+02  -0.136795E+03   0.489131E+06   0.149385E+03
   737   0.211555E+04   0.319399E+02  -0.137257E+03   0.488113E+06   0.149370E+03
   738   0.212429E+04   0.316863E+02  -0.137684E+03   0.487099E+06   0.149353E+03
   739   0.213306E+04   0.314296E+02  -0.138073E+03   0.486088E+06   0.149333E+03
   740   0.214186E+04   0.311699E+02  -0.138424E+03   0.485080E+06   0.149311E+03
   741   0.215067E+04   0.309075E+02  -0.138739E+03   0.484076E+06   0.149286E+03
   742   0.215950E+04   0.306424E+02  -0.139017E+03   0.483074E+06   0.149258E+03
   743   0.216835E+04   0.303747E+02  -0.139257E+03   0.482077E+06   0.149228E+03
   744   0.217719E+04   0.301047E+02  -0.139459E+03   0.481082E+06   0.149195E+03
   745   0.218604E+04   0.298323E+02  -0.139623E+03   0.480091E+06   0.149160E+03
   746   0.219488E+04   0.295578E+02  -0.139750E+03   0.479102E+06   0.149123E+03
   747   0.220371E+04   0.292813E+02  -0.139839E+03   0.478117E+06   0.149082E+03
   748   0.221253E+04   0.290027E+02  -0.139890E+03   0.477136E+06   0.149040E+03
   749   0.222134E+04   0.287224E+02  -0.139903E+03   0.476157E+06   0.148995E+03
   750   0.223013E+04   0.284404E+02  -0.139878E+03   0.475181E+06   0.148947E+03
   751   0.223889E+04   0.281568E+02  -0.139815E+03   0.474209E+06   0.148897E+03
   752   0.224761E+04   0.278718E+02  -0.139712E+03   0.473240E+06   0.148844E+03
   753   0.225630E+04   0.275854E+02  -0.139573E+03   0.472274E+06   0.148789E+03
   754   0.226496E+04   0.272978E+02  -0.139396E+03   0.471310E+06   0.148731E+03
   755   0.227357E+04   0.270092E+02  -0.139180E+03   0.470350E+06   0.148669E+03
   756   0.228214E+04   0.267197E+02  -0.138926E+03   0.469393E+06   0.148604E+03
   757   0.229066E+04   0.264294E+02  -0.138635E+03   0.468439E+06   0.148536E+03
   758   0.229914E+04   0.261385E+02  -0.138307E+03   0.467488E+06   0.148464E+03
   759   0.230757E+04   0.258472E+02  -0.137942E+03   0.466540E+06   0.148388E+03
   760   0.231594E+04   0.255555E+02  -0.137539E+03   0.465596E+06   0.148308E+03
   761   0.232425E+04   0.252637E+02  -0.137099E+03   0.464654E+06   0.148224E+03
   762   0.233249E+04   0.249718E+02  -0.136622E+03   0.463715E+06   0.148135E+03
   763   0.234067E+04   0.246799E+02  -0.136109E+03   0.462779E+06   0.148042E+03
   764   0.234877E+04   0.243881E+02  -0.135557E+03   0.461846E+06   0.147943E+03
   765   0.235678E+04   0.240967E+02  -0.134970E+03   0.460915E+06   0.147840E+03
   766   0.236472E+04   0.238057E+02  -0.134345E+03   0.459988E+06   0.147732E+03
   767   0.237256E+04   0.235151E+02  -0.133683E+03   0.459064E+06   0.147618E+03
   768   0.238032E+04   0.232253E+02  -0.132984E+03   0.458143E+06   0.147499E+03
   769   0.238796E+04   0.229363E+02  -0.132249E+03   0.457224E+06   0.147374E+03
   770   0.239551E+04   0.226482E+02  -0.131478E+03   0.456309E+06   0.147243E+03
   771   0.240295E+04   0.223612E+02  -0.130672E+03   0.455396E+06   0.147106E+03
   772   0.241027E+04   0.220756E+02  -0.129830E+03   0.454486E+06   0.146963E+03
   773   0.241748E+04   0.217913E+02  -0.128954E+03   0.453579E+06   0.146813E+03
   774   0.242456E+04   0.215086E+02  -0.128044E+03   0.452675E+06   0.146657E+03
   775   0.243152E+04   0.212276E+02  -0.127099E+03   0.451773E+06   0.146494E+03
   776   0.243836E+04   0.209483E+02  -0.126122E+03   0.450875E+06   0.146323E+03
   777   0.244508E+04   0.206710E+02  -0.125111E+03   0.449979E+06   0.146146E+03
   778   0.245167E+04   0.203958E+02  -0.124069E+03   0.449086E+06   0.145961E+03
   779   0.245814E+04   0.201227E+02  -0.122993E+03   0.448196E+06   0.145769E+03
   780   0.246447E+04   0.198519E+02  -0.121887E+03   0.447308E+06   0.145568E+03
   781   0.247068E+04   0.195835E+02  -0.120750E+03   0.446424E+06   0.145360E+03
   782   0.247675E+04   0.193176E+02  -0.119582E+03   0.445542E+06   0.145144E+03
   783   0.248269E+04   0.190544E+02  -0.118383E+03   0.444662E+06   0.144920E+03
   784   0.248848E+04   0.187939E+02  -0.117155E+03   0.443786E+06   0.144686E+03
   785   0.249412E+04   0.185361E+02  -0.115895E+03   0.442912E+06   0.144445E+03
   786   0.249960E+04   0.182814E+02  -0.114606E+03   0.442040E+06   0.144194E+03
   787   0.250493E+04   0.180297E+02  -0.113287E+03   0.441172E+06   0.143935E+03
   788   0.251009E+04   0.177811E+02  -0.111937E+03   0.440306E+06   0.143666E+03
   789   0.251507E+04   0.175359E+02  -0.110560E+03   0.439443E+06   0.143387E+03
   790   0.251990E+04   0.172940E+02  -0.109153E+03   0.438582E+06   0.143100E+03
   791   0.252454E+04   0.170558E+02  -0.107720E+03   0.437724E+06   0.142802E+03
   792   0.252902E+04   0.168213E+02  -0.106260E+03   0.436869E+06   0.142494E+03
   793   0.253332E+04   0.165908E+02  -0.104775E+03   0.436016E+06   0.142176E+03
   794   0.253744E+04   0.163643E+02  -0.103266E+03   0.435165E+06   0.141848E+03
   795   0.254138E+04   0.161420E+02  -0.101733E+03   0.434318E+06   0.141510E+03
   796   0.254514E+04   0.159239E+02  -0.100177E+03   0.433473E+06   0.141160E+03
   797   0.254872E+04   0.157101E+02  -0.985976E+02   0.432630E+06   0.140800E+03
   798   0.255212E+04   0.155006E+02  -0.969962E+02   0.431790E+06   0.140429E+03
   799   0.255534E+04   0.152956E+02  -0.953732E+02   0.430952E+06   0.140046E+03
   800   0.255838E+04   0.150951E+02  -0.937278E+02   0.430117E+06   0.139652E+03
   801   0.256123E+04   0.148992E+02  -0.920622E+02   0.429285E+06   0.139247E+03
   802   0.256390E+04   0.147077E+02  -0.903757E+02   0.428455E+06   0.138830E+03
   803   0.256639E+04   0.145211E+02  -0.886690E+02   0.427627E+06   0.138404E+03
   804   0.256868E+04   0.143392E+02  -0.869436E+02   0.426802E+06   0.137968E+03
   805   0.257078E+04   0.141623E+02  -0.851988E+02   0.425979E+06   0.137524E+03
   806   0.257268E+04   0.139905E+02  -0.834368E+02   0.425159E+06   0.137071E+03
   807   0.257436E+04   0.138239E+02  -0.816561E+02   0.424341E+06   0.136612E+03
   808   0.257584E+04   0.136626E+02  -0.798596E+02   0.423526E+06   0.136146E+03
   809   0.257710E+04   0.135067E+02  -0.780467E+02   0.422713E+06   0.135675E+03
   810   0.257815E+04   0.133563E+02  -0.762181E+02   0.421902E+06   0.135199E+03
   811   0.257898E+04   0.132115E+02  -0.743754E+02   0.421094E+06   0.134718E+03
   812   0.257962E+04   0.130721E+02  -0.725193E+02   0.420288E+06   0.134235E+03
   813   0.258005E+04   0.129384E+02  -0.706507E+02   0.419484E+06   0.133749E+03
   814   0.258027E+04   0.128104E+02  -0.687705E+02   0.418683E+06   0.133261E+03
   815   0.258031E+04   0.126879E+02  -0.668797E+02   0.417884E+06   0.132772E+03
   816   0.258015E+04   0.125713E+02  -0.649791E+02   0.417087E+06   0.132282E+03
   817   0.257980E+04   0.124604E+02  -0.630692E+02   0.416293E+06   0.131794E+03
   818   0.257924E+04   0.123554E+02  -0.611503E+02   0.415501E+06   0.131306E+03
   819   0.257848E+04   0.122563E+02  -0.592228E+02   0.414711E+06   0.130820E+03
   820   0.257750E+04   0.121632E+02  -0.572871E+02   0.413924E+06   0.130337E+03
   821   0.257630E+04   0.120762E+02  -0.553436E+02   0.413139E+06   0.129858E+03
   822   0.257488E+04   0.119953E+02  -0.533927E+02   0.412356E+06   0.129383E+03
   823   0.257322E+04   0.119206E+02  -0.514347E+02   0.411575E+06   0.128912E+03
   824   0.257135E+04   0.118521E+02  -0.494709E+02   0.410796E+06   0.128448E+03
   825   0.256926E+04   0.117899E+02  -0.475023E+02   0.410020E+06   0.127990E+03
   826   0.256696E+04   0.117340E+02  -0.455301E+02   0.409246E+06   0.127539E+03
   827   0.256445E+04   0.116843E+02  -0.435556E+02   0.408474E+06   0.127096E+03
   828   0.256173E+04   0.116409E+02  -0.415798E+02   0.407704E+06   0.126662E+03
   829   0.255882E+04   0.116038E+02  -0.396038E+02   0.406936E+06   0.126238E+03
   830   0.255571E+04   0.115732E+02  -0.376289E+02   0.406171E+06   0.125823E+03
   831   0.255242E+04   0.115488E+02  -0.356553E+02   0.405408E+06   0.125420E+03
   832   0.254892E+04   0.115308E+02  -0.336836E+02   0.404646E+06   0.125029E+03
   833   0.254522E+04   0.115193E+02  -0.317139E+02   0.403887E+06   0.124650E+03
   834   0.254131E+04   0.115143E+02  -0.297467E+02   0.403130E+06   0.124284E+03
   835   0.253720E+04   0.115157E+02  -0.277824E+02   0.402375E+06   0.123932E+03
   836   0.253286E+04   0.115237E+02  -0.258212E+02   0.401622E+06   0.123596E+03
   837   0.252830E+04   0.115382E+02  -0.238638E+02   0.400872E+06   0.123274E+03
   838   0.252354E+04   0.115592E+02  -0.219108E+02   0.400123E+06   0.122970E+03
   839   0.251855E+04   0.115867E+02  -0.199634E+02   0.399376E+06   0.122682E+03
   840   0.251337E+04   0.116207E+02  -0.180224E+02   0.398631E+06   0.122412E+03
   841   0.250799E+04   0.116611E+02  -0.160890E+02   0.397889E+06   0.122160E+03
   842   0.250242E+04   0.117078E+02  -0.141641E+02   0.397148E+06   0.121928E+03
   843   0.249666E+04   0.117609E+02  -0.122486E+02   0.396409E+06   0.121716E+03
   844   0.249072E+04   0.118203E+02  -0.103437E+02   0.395672E+06   0.121525E+03
   845   0.248460E+04   0.118859E+02  -0.844971E+01   0.394938E+06   0.121355E+03
   846   0.247829E+04   0.119579E+02  -0.656744E+01   0.394205E+06   0.121208E+03
   847   0.247179E+04   0.120363E+02  -0.469736E+01   0.393474E+06   0.121084E+03
   848   0.246511E+04   0.121210E+02  -0.284005E+01   0.392745E+06   0.120983E+03
   849   0.245823E+04   0.122121E+02  -0.996092E+00   0.392018E+06   0.120908E+03
   850   0.245116E+04   0.123096E+02   0.833956E+00   0.391293E+06   0.120857E+03
   851   0.244389E+04   0.124135E+02   0.264953E+01   0.390570E+06   0.120833E+03
   852   0.243644E+04   0.125238E+02   0.445013E+01   0.389848E+06   0.120833E+03
   853   0.242880E+04   0.126402E+02   0.623521E+01   0.389129E+06   0.120857E+03
   854   0.242097E+04   0.127628E+02   0.800429E+01   0.388411E+06   0.120903E+03
   855   0.241298E+04   0.128914E+02   0.975683E+01   0.387696E+06   0.120970E+03
   856   0.240481E+04   0.130260E+02   0.114924E+02   0.386982E+06   0.121057E+03
   857   0.239649E+04   0.131663E+02   0.132104E+02   0.386270E+06   0.121162E+03
   858   0.238801E+04   0.133124E+02   0.149103E+02   0.385560E+06   0.121284E+03
   859   0.237938E+04   0.134641E+02   0.165912E+02   0.384852E+06   0.121422E+03
   860   0.237058E+04   0.136216E+02   0.182524E+02   0.384145E+06   0.121574E+03
   861   0.236164E+04   0.137848E+02   0.198929E+02   0.383441E+06   0.121740E+03
   862   0.235255E+04   0.139535E+02   0.215119E+02   0.382738E+06   0.121918E+03
   863   0.234331E+04   0.141280E+02   0.231085E+02   0.382038E+06   0.122106E+03
   864   0.233393E+04   0.143081E+02   0.246818E+02   0.381339E+06   0.122304E+03
   865   0.232439E+04   0.144938E+02   0.262310E+02   0.380642E+06   0.122510E+03
   866   0.231473E+04   0.146849E+02   0.277559E+02   0.379946E+06   0.122722E+03
   867   0.230491E+04   0.148816E+02   0.292564E+02   0.379253E+06   0.122940E+03
   868   0.229495E+04   0.150835E+02   0.307322E+02   0.378561E+06   0.123162E+03
   869   0.228486E+04   0.152906E+02   0.321832E+02   0.377872E+06   0.123388E+03
   870   0.227463E+04   0.155029E+02   0.336092E+02   0.377184E+06   0.123614E+03
   871   0.226426E+04   0.157203E+02   0.350100E+02   0.376498E+06   0.123841E+03
   872   0.225377E+04   0.159426E+02   0.363855E+02   0.375814E+06   0.124068E+03
   873   0.224314E+04   0.161696E+02   0.377351E+02   0.375131E+06   0.124292E+03
   874   0.223240E+04   0.164014E+02   0.390582E+02   0.374451E+06   0.124512E+03
   875   0.222153E+04   0.166379E+02   0.403543E+02   0.373772E+06   0.124727E+03
   876   0.221056E+04   0.168788E+02   0.416229E+02   0.373095E+06   0.124937E+03
   877   0.219947E+04   0.171241E+02   0.428632E+02   0.372420E+06   0.125139E+03
   878   0.218829E+04   0.173736E+02   0.440749E+02   0.371746E+06   0.125332E+03
   879   0.217701E+04   0.176273E+02   0.452573E+02   0.371075E+06   0.125516E+03
   880   0.216564E+04   0.178850E+02   0.464099E+02   0.370405E+06   0.125688E+03
   881   0.215417E+04   0.181467E+02   0.475323E+02   0.369737E+06   0.125847E+03
   882   0.214262E+04   0.184124E+02   0.486240E+02   0.369071E+06   0.125993E+03
   883   0.213098E+04   0.186818E+02   0.496844E+02   0.368406E+06   0.126123E+03
   884   0.211925E+04   0.189550E+02   0.507130E+02   0.367744E+06   0.126237E+03
   885   0.210744E+04   0.192319E+02   0.517094E+02   0.367083E+06   0.126334E+03
   886   0.209555E+04   0.195123E+02   0.526732E+02   0.366424E+06   0.126411E+03
   887   0.208357E+04   0.197962E+02   0.536041E+02   0.365766E+06   0.126468E+03
   888   0.207153E+04   0.200835E+02   0.545022E+02   0.365111E+06   0.126504E+03
   889   0.205941E+04   0.203739E+02   0.553675E+02   0.364457E+06   0.126516E+03
   890   0.204722E+04   0.206675E+02   0.561997E+02   0.363805E+06   0.126505E+03
   891   0.203497E+04   0.209641E+02   0.569990E+02   0.363155E+06   0.126467E+03
   892   0.202266E+04   0.212636E+02   0.577652E+02   0.362506E+06   0.126404E+03
   893   0.201029E+04   0.215658E+02   0.584982E+02   0.361860E+06   0.126312E+03
   894   0.199788E+04   0.218705E+02   0.591981E+02   0.361215E+06   0.126191E+03
   895   0.198540E+04   0.221778E+02   0.598644E+02   0.360571E+06   0.126039E+03
   896   0.197289E+04   0.224873E+02   0.604972E+02   0.359930E+06   0.125855E+03
   897   0.196033E+04   0.227990E+02   0.610964E+02   0.359290E+06   0.125638E+03
   898   0.194773E+04   0.231128E+02   0.616617E+02   0.358652E+06   0.125387E+03
   899   0.193510E+04   0.234283E+02   0.621930E+02   0.358016E+06   0.125100E+03
   900   0.192245E+04   0.237457E+02   0.626902E+02   0.357381E+06   0.124776E+03
   901   0.190976E+04   0.240646E+02   0.631532E+02   0.356748E+06   0.124413E+03
   902   0.189706E+04   0.243850E+02   0.635818E+02   0.356117E+06   0.124014E+03
   903   0.188434E+04   0.247068E+02   0.639759E+02   0.355488E+06   0.123578E+03
   904   0.187161E+04   0.250298E+02   0.643355E+02   0.354860E+06   0.123107E+03
   905   0.185886E+04   0.253539E+02   0.646604E+02   0.354234E+06   0.122602E+03
   906   0.184611E+04   0.256791E+02   0.649504E+02   0.353610E+06   0.122063E+03
   907   0.183337E+04   0.260050E+02   0.652056E+02   0.352987E+06   0.121492E+03
   908   0.182063E+04   0.263317E+02   0.654259E+02   0.352366E+06   0.120890E+03
   909   0.180789E+04   0.266590E+02   0.656113E+02   0.351747E+06   0.120258E+03
   910   0.179516E+04   0.269868E+02   0.657619E+02   0.351129E+06   0.119596E+03
